"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with fewer than 500 employees in 2015."
"10314","10314","=""10314""","11742"
"11234","11234","=""11234""","9253"
"10312","10312","=""10312""","4665"
"10306","10306","=""10306""","6279"
"11430","11430","=""11430""","4585"
"10309","10309","=""10309""","4629"
"10305","10305","=""10305""","4927"
"10304","10304","=""10304""","3544"
"11385","11385","=""11385""","10431"
"11236","11236","=""11236""","6900"
"10301","10301","=""10301""","4414"
"10464","10464","=""10464""","1373"
"11208","11208","=""11208""","6674"
"10465","10465","=""10465""","3930"
"11434","11434","=""11434""","6637"
"10303","10303","=""10303""","3077"
"11413","11413","=""11413""","3728"
"11357","11357","=""11357""","5930"
"11691","11691","=""11691""","5703"
"11101","11101","=""11101""","38895"
"11368","11368","=""11368""","7028"
"11207","11207","=""11207""","7742"
"11378","11378","=""11378""","12849"
"10471","10471","=""10471""","3979"
"11697","11697","=""11697""","288"
"11367","11367","=""11367""","3207"
"11362","11362","=""11362""","2301"
"11377","11377","=""11377""","11978"
"11365","11365","=""11365""","4958"
"10469","10469","=""10469""","5257"
"11364","11364","=""11364""","2044"
"11235","11235","=""11235""","12640"
"10461","10461","=""10461""","7851"
"11414","11414","=""11414""","2757"
"11211","11211","=""11211""","28856"
"10467","10467","=""10467""","6301"
"11229","11229","=""11229""","10849"
"11354","11354","=""11354""","17875"
"11215","11215","=""11215""","14120"
"11214","11214","=""11214""","8802"
"11432","11432","=""11432""","7928"
"10473","10473","=""10473""","3450"
"11203","11203","=""11203""","5499"
"11209","11209","=""11209""","9668"
"11379","11379","=""11379""","3358"
"11420","11420","=""11420""","2099"
"11223","11223","=""11223""","10915"
"11422","11422","=""11422""","1855"
"10466","10466","=""10466""","3782"
"11375","11375","=""11375""","10644"
"10308","10308","=""10308""","1917"
"10307","10307","=""10307""","1233"
"11358","11358","=""11358""","5169"
"10475","10475","=""10475""","3149"
"11230","11230","=""11230""","13172"
"10310","10310","=""10310""","3380"
"11361","11361","=""11361""","5412"
"11220","11220","=""11220""","15998"
"11355","11355","=""11355""","9532"
"11105","11105","=""11105""","6616"
"11412","11412","=""11412""","1179"
"11210","11210","=""11210""","6290"
"11418","11418","=""11418""","5708"
"11222","11222","=""11222""","13058"
"11224","11224","=""11224""","4814"
"10463","10463","=""10463""","7274"
"11204","11204","=""11204""","10902"
"11427","11427","=""11427""","1719"
"11356","11356","=""11356""","5341"
"11433","11433","=""11433""","3297"
"11212","11212","=""11212""","3982"
"10474","10474","=""10474""","12155"
"11435","11435","=""11435""","5059"
"11373","11373","=""11373""","8022"
"11370","11370","=""11370""","2562"
"10462","10462","=""10462""","6547"
"11219","11219","=""11219""","21307"
"11228","11228","=""11228""","3972"
"11231","11231","=""11231""","10249"
"10470","10470","=""10470""","2170"
"11206","11206","=""11206""","10007"
"10035","10035","=""10035""","6429"
"11218","11218","=""11218""","9622"
"11201","11201","=""11201""","25319"
"11423","11423","=""11423""","2489"
"11360","11360","=""11360""","1568"
"11221","11221","=""11221""","3231"
"11426","11426","=""11426""","1171"
"11233","11233","=""11233""","3594"
"11694","11694","=""11694""","2137"
"10460","10460","=""10460""","2885"
"11429","11429","=""11429""","1953"
"11421","11421","=""11421""","1815"
"11226","11226","=""11226""","5509"
"11232","11232","=""11232""","11529"
"10302","10302","=""10302""","2474"
"11411","11411","=""11411""","949"
"11419","11419","=""11419""","2619"
"11417","11417","=""11417""","2210"
"11238","11238","=""11238""","6167"
"10034","10034","=""10034""","2949"
"11371","11371","=""11371""","361"
"11366","11366","=""11366""","1963"
"10468","10468","=""10468""","4046"
"11369","11369","=""11369""","2643"
"11213","11213","=""11213""","3817"
"11692","11692","=""11692""","1493"
"10457","10457","=""10457""","5787"
"10472","10472","=""10472""","2946"
"10454","10454","=""10454""","6721"
"10451","10451","=""10451""","7320"
"10456","10456","=""10456""","4579"
"10458","10458","=""10458""","5638"
"11237","11237","=""11237""","7648"
"10452","10452","=""10452""","4038"
"11693","11693","=""11693""","1168"
"11004","11004","=""11004""","1016"
"11205","11205","=""11205""","9059"
"11374","11374","=""11374""","4850"
"11216","11216","=""11216""","3612"
"10453","10453","=""10453""","3205"
"11225","11225","=""11225""","3544"
"10002","10002","=""10002""","16641"
"11363","11363","=""11363""","886"
"10027","10027","=""10027""","9454"
"11106","11106","=""11106""","8714"
"10024","10024","=""10024""","15323"
"11428","11428","=""11428""","1432"
"10459","10459","=""10459""","3728"
"10029","10029","=""10029""","7813"
"11436","11436","=""11436""","983"
"11102","11102","=""11102""","4851"
"10025","10025","=""10025""","12298"
"11217","11217","=""11217""","10536"
"11372","11372","=""11372""","6458"
"10455","10455","=""10455""","5089"
"11103","11103","=""11103""","6233"
"10019","10019","=""10019""","57654"
"10011","10011","=""10011""","38708"
"11416","11416","=""11416""","2911"
"10032","10032","=""10032""","5134"
"10031","10031","=""10031""","3421"
"11239","11239","=""11239""","1304"
"10009","10009","=""10009""","6848"
"10001","10001","=""10001""","76501"
"10033","10033","=""10033""","4750"
