"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with fewer than 500 employees in 2015."
"10003","10003","=""10003""","35525"
"11415","11415","=""11415""","2319"
"10014","10014","=""10014""","21772"
"10013","10013","=""10013""","44666"
"10004","10004","=""10004""","19763"
"10016","10016","=""10016""","54674"
"10023","10023","=""10023""","18919"
"10128","10128","=""10128""","12918"
"10036","10036","=""10036""","55399"
"10039","10039","=""10039""","754"
"10022","10022","=""10022""","57625"
"11104","11104","=""11104""","2253"
"10040","10040","=""10040""","2630"
"10010","10010","=""10010""","33033"
"10021","10021","=""10021""","15257"
"10065","10065","=""10065""","16854"
"10026","10026","=""10026""","2487"
"10012","10012","=""10012""","27276"
"10018","10018","=""10018""","77300"
"10017","10017","=""10017""","50596"
"10028","10028","=""10028""","11574"
"10038","10038","=""10038""","15684"
"10030","10030","=""10030""","2135"
"10037","10037","=""10037""","1084"
"11359","11359","=""11359""","28"
"10044","10044","=""10044""","781"
"10075","10075","=""10075""","7988"
"11005","11005","=""11005""","306"
"10007","10007","=""10007""","13440"
"10280","10280","=""10280""","1970"
"10069","10069","=""10069""","557"
"10006","10006","=""10006""","8321"
"10282","10282","=""10282""","1035"
"10005","10005","=""10005""","14408"
"11109","11109","=""11109""","689"
"10311","10311","=""10311""","38"
"11425","11425","=""11425""","10"
"11451","11451","=""11451""","16"
"11424","11424","=""11424""","77"
"10020","10020","=""10020""","4126"
"10199","10199","=""10199""","25"
"10119","10119","=""10119""","2720"
"10278","10278","=""10278""","100"
"10162","10162","=""10162""","235"
"10110","10110","=""10110""","3232"
"10170","10170","=""10170""","3536"
"10103","10103","=""10103""","2191"
"10112","10112","=""10112""","1456"
"10174","10174","=""10174""","1651"
"10168","10168","=""10168""","2445"
"10165","10165","=""10165""","3307"
"10171","10171","=""10171""","901"
"10152","10152","=""10152""","1120"
"10172","10172","=""10172""","885"
"10167","10167","=""10167""","1778"
"10154","10154","=""10154""","676"
"11351","11351","=""11351""","N/A"
"10173","10173","=""10173""","2609"
"10153","10153","=""10153""","1397"
"10279","10279","=""10279""","1134"
"10169","10169","=""10169""","2329"
"10111","10111","=""10111""","1650"
"10271","10271","=""10271""","3417"
"10115","10115","=""10115""","1762"
"10177","10177","=""10177""","754"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
