"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with fewer than 500 employees in 2016."
"10020","10020","=""10020""","3790"
"10199","10199","=""10199""","17"
"10119","10119","=""10119""","2787"
"10278","10278","=""10278""","82"
"10162","10162","=""10162""","251"
"10110","10110","=""10110""","3274"
"10170","10170","=""10170""","2540"
"10103","10103","=""10103""","1990"
"10112","10112","=""10112""","1049"
"10174","10174","=""10174""","1856"
"10168","10168","=""10168""","2765"
"10165","10165","=""10165""","2973"
"10171","10171","=""10171""","1033"
"10152","10152","=""10152""","1067"
"10172","10172","=""10172""","904"
"10167","10167","=""10167""","1999"
"10154","10154","=""10154""","739"
"11351","11351","=""11351""","13"
"10173","10173","=""10173""","2185"
"10153","10153","=""10153""","1438"
"10279","10279","=""10279""","1472"
"10169","10169","=""10169""","2408"
"10111","10111","=""10111""","1654"
"10271","10271","=""10271""","2839"
"10115","10115","=""10115""","1583"
"10177","10177","=""10177""","843"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
