"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2017."
"10020","10020","=""10020""","19168"
"10199","10199","=""10199""","43"
"10119","10119","=""10119""","16722"
"10278","10278","=""10278""","231"
"10162","10162","=""10162""","235"
"10110","10110","=""10110""","10624"
"10170","10170","=""10170""","10575"
"10103","10103","=""10103""","9040"
"10112","10112","=""10112""","11747"
"10174","10174","=""10174""","5646"
"10168","10168","=""10168""","7521"
"10165","10165","=""10165""","7099"
"10171","10171","=""10171""","2787"
"10152","10152","=""10152""","3284"
"10172","10172","=""10172""","4950"
"10167","10167","=""10167""","10144"
"10154","10154","=""10154""","7187"
"11351","11351","=""11351""","1437"
"10173","10173","=""10173""","6005"
"10153","10153","=""10153""","6398"
"10279","10279","=""10279""","4028"
"10169","10169","=""10169""","9945"
"10111","10111","=""10111""","6006"
"10271","10271","=""10271""","5118"
"10115","10115","=""10115""","1695"
"10177","10177","=""10177""","2520"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
