"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2017."
"10314","10314","=""10314""","9465"
"11234","11234","=""11234""","6162"
"10312","10312","=""10312""","1032"
"10306","10306","=""10306""","4235"
"11430","11430","=""11430""","26033"
"10309","10309","=""10309""","2416"
"10305","10305","=""10305""","5507"
"10304","10304","=""10304""","2792"
"11385","11385","=""11385""","4096"
"11236","11236","=""11236""","4032"
"10301","10301","=""10301""","1501"
"10464","10464","=""10464""","79"
"11208","11208","=""11208""","4794"
"10465","10465","=""10465""","1965"
"11434","11434","=""11434""","5925"
"10303","10303","=""10303""","1903"
"11413","11413","=""11413""","4536"
"11357","11357","=""11357""","1379"
"11691","11691","=""11691""","3430"
"11101","11101","=""11101""","44315"
"11368","11368","=""11368""","3483"
"11207","11207","=""11207""","5149"
"11378","11378","=""11378""","7224"
"10471","10471","=""10471""","4433"
"11697","11697","=""11697""","15"
"11367","11367","=""11367""","2060"
"11362","11362","=""11362""","1238"
"11377","11377","=""11377""","4395"
"11365","11365","=""11365""","2601"
"10469","10469","=""10469""","2915"
"11364","11364","=""11364""","423"
"11235","11235","=""11235""","16190"
"10461","10461","=""10461""","17159"
"11414","11414","=""11414""","706"
"11211","11211","=""11211""","15250"
"10467","10467","=""10467""","17201"
"11229","11229","=""11229""","7562"
"11354","11354","=""11354""","7722"
"11215","11215","=""11215""","9646"
"11214","11214","=""11214""","4056"
"11432","11432","=""11432""","6806"
"10473","10473","=""10473""","2457"
"11203","11203","=""11203""","3971"
"11209","11209","=""11209""","2677"
"11379","11379","=""11379""","1259"
"11420","11420","=""11420""","2330"
"11223","11223","=""11223""","3939"
"11422","11422","=""11422""","1024"
"10466","10466","=""10466""","4410"
"11375","11375","=""11375""","18632"
"10308","10308","=""10308""","187"
"10307","10307","=""10307""","131"
"11358","11358","=""11358""","645"
"10475","10475","=""10475""","5956"
"11230","11230","=""11230""","19589"
"10310","10310","=""10310""","3644"
"11361","11361","=""11361""","9370"
"11220","11220","=""11220""","10254"
"11355","11355","=""11355""","16618"
"11105","11105","=""11105""","3215"
"11412","11412","=""11412""","311"
"11210","11210","=""11210""","4031"
"11418","11418","=""11418""","6500"
"11222","11222","=""11222""","2663"
"11224","11224","=""11224""","1137"
"10463","10463","=""10463""","5049"
"11204","11204","=""11204""","2209"
"11427","11427","=""11427""","1260"
"11356","11356","=""11356""","4266"
"11433","11433","=""11433""","1223"
"11212","11212","=""11212""","5714"
"10474","10474","=""10474""","6439"
"11435","11435","=""11435""","1649"
