"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2017."
"11373","11373","=""11373""","8012"
"11370","11370","=""11370""","2557"
"10462","10462","=""10462""","7148"
"11219","11219","=""11219""","18544"
"11228","11228","=""11228""","595"
"11231","11231","=""11231""","2790"
"10470","10470","=""10470""","214"
"11206","11206","=""11206""","8559"
"10035","10035","=""10035""","6002"
"11218","11218","=""11218""","10884"
"11201","11201","=""11201""","35340"
"11423","11423","=""11423""","549"
"11360","11360","=""11360""","1510"
"11221","11221","=""11221""","1678"
"11426","11426","=""11426""","755"
"11233","11233","=""11233""","3042"
"11694","11694","=""11694""","221"
"10460","10460","=""10460""","2435"
"11429","11429","=""11429""","383"
"11421","11421","=""11421""","471"
"11226","11226","=""11226""","3140"
"11232","11232","=""11232""","3603"
"10302","10302","=""10302""","1586"
"11411","11411","=""11411""","441"
"11419","11419","=""11419""","1591"
"11417","11417","=""11417""","859"
"11238","11238","=""11238""","1879"
"10034","10034","=""10034""","915"
"11371","11371","=""11371""","9429"
"11366","11366","=""11366""","950"
"10468","10468","=""10468""","1909"
"11369","11369","=""11369""","3898"
"11213","11213","=""11213""","2610"
"11692","11692","=""11692""","160"
"10457","10457","=""10457""","5963"
"10472","10472","=""10472""","767"
"10454","10454","=""10454""","1946"
"10451","10451","=""10451""","5650"
"10456","10456","=""10456""","3058"
"10458","10458","=""10458""","10382"
"11237","11237","=""11237""","6660"
"10452","10452","=""10452""","1226"
"11693","11693","=""11693""","77"
"11004","11004","=""11004""","10301"
"11205","11205","=""11205""","4884"
"11374","11374","=""11374""","6758"
"11216","11216","=""11216""","1193"
"10453","10453","=""10453""","2287"
"11225","11225","=""11225""","1276"
"10002","10002","=""10002""","4911"
"11363","11363","=""11363""","298"
"10027","10027","=""10027""","36675"
"11106","11106","=""11106""","3453"
"10024","10024","=""10024""","5333"
"11428","11428","=""11428""","297"
"10459","10459","=""10459""","2127"
"10029","10029","=""10029""","22719"
"11436","11436","=""11436""","144"
"11102","11102","=""11102""","2788"
"10025","10025","=""10025""","9599"
"11217","11217","=""11217""","11715"
"11372","11372","=""11372""","1923"
"10455","10455","=""10455""","6799"
"11103","11103","=""11103""","1914"
"10019","10019","=""10019""","116161"
"10011","10011","=""10011""","45001"
"11416","11416","=""11416""","4449"
"10032","10032","=""10032""","12228"
"10031","10031","=""10031""","1169"
"11239","11239","=""11239""","2113"
"10009","10009","=""10009""","1288"
"10001","10001","=""10001""","130801"
"10033","10033","=""10033""","3723"
"10003","10003","=""10003""","60514"
"11415","11415","=""11415""","2180"
"10014","10014","=""10014""","18815"
"10013","10013","=""10013""","38311"
"10004","10004","=""10004""","52223"
"10016","10016","=""10016""","60525"
"10023","10023","=""10023""","19102"
"10128","10128","=""10128""","5119"
"10036","10036","=""10036""","104087"
"10039","10039","=""10039""","241"
"10022","10022","=""10022""","85396"
"11104","11104","=""11104""","3324"
"10040","10040","=""10040""","1680"
"10010","10010","=""10010""","51066"
"10021","10021","=""10021""","15067"
"10065","10065","=""10065""","37044"
"10026","10026","=""10026""","1178"
"10012","10012","=""10012""","20832"
"10018","10018","=""10018""","73007"
"10017","10017","=""10017""","98495"
"10028","10028","=""10028""","7442"
"10038","10038","=""10038""","20465"
"10030","10030","=""10030""","997"
"10037","10037","=""10037""","779"
"11359","11359","=""11359""","22"
"10044","10044","=""10044""","169"
"10075","10075","=""10075""","1627"
"11005","11005","=""11005""","6"
"10007","10007","=""10007""","19723"
"10280","10280","=""10280""","5941"
"10069","10069","=""10069""","193"
"10006","10006","=""10006""","12219"
"10282","10282","=""10282""","12080"
"10005","10005","=""10005""","32084"
"11109","11109","=""11109""","95"
"10311","10311","=""10311""","189"
"11425","11425","=""11425""","1"
"11451","11451","=""11451""","155"
"11424","11424","=""11424""","0"
"10020","10020","=""10020""","15040"
"10199","10199","=""10199""","13"
"10119","10119","=""10119""","14288"
"10278","10278","=""10278""","144"
"10162","10162","=""10162""","0"
"10110","10110","=""10110""","7208"
"10170","10170","=""10170""","7798"
"10103","10103","=""10103""","7356"
"10112","10112","=""10112""","10793"
"10174","10174","=""10174""","3679"
"10168","10168","=""10168""","4904"
"10165","10165","=""10165""","3664"
"10171","10171","=""10171""","1701"
"10152","10152","=""10152""","1919"
"10172","10172","=""10172""","3777"
"10167","10167","=""10167""","8064"
"10154","10154","=""10154""","6363"
"11351","11351","=""11351""","1416"
"10173","10173","=""10173""","3928"
"10153","10153","=""10153""","5006"
"10279","10279","=""10279""","2567"
"10169","10169","=""10169""","7838"
"10111","10111","=""10111""","4446"
"10271","10271","=""10271""","1430"
"10115","10115","=""10115""","141"
"10177","10177","=""10177""","1755"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
