"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2014."
"10119","10119","=""10119""","15047"
"10278","10278","=""10278""","188"
"10162","10162","=""10162""","6"
"10110","10110","=""10110""","5934"
"10170","10170","=""10170""","8259"
"10103","10103","=""10103""","6093"
"10112","10112","=""10112""","8762"
"10174","10174","=""10174""","3676"
"10168","10168","=""10168""","3178"
"10165","10165","=""10165""","2011"
"10171","10171","=""10171""","1410"
"10152","10152","=""10152""","1898"
"10172","10172","=""10172""","4540"
"10167","10167","=""10167""","3355"
"10154","10154","=""10154""","5071"
"11351","11351","=""11351""","0"
"10173","10173","=""10173""","2745"
"10153","10153","=""10153""","4721"
"10279","10279","=""10279""","2129"
"10169","10169","=""10169""","8248"
"10111","10111","=""10111""","4547"
"10271","10271","=""10271""","1271"
"10115","10115","=""10115""","300"
"10177","10177","=""10177""","740"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
