"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2015."
"10032","10032","=""10032""","18826"
"10031","10031","=""10031""","6521"
"11239","11239","=""11239""","3776"
"10009","10009","=""10009""","8028"
"10001","10001","=""10001""","178401"
"10033","10033","=""10033""","9395"
"10003","10003","=""10003""","103009"
"11415","11415","=""11415""","7585"
"10014","10014","=""10014""","41310"
"10013","10013","=""10013""","163394"
"10004","10004","=""10004""","74422"
"10016","10016","=""10016""","119471"
"10023","10023","=""10023""","47012"
"10128","10128","=""10128""","17771"
"10036","10036","=""10036""","158505"
"10039","10039","=""10039""","1505"
"10022","10022","=""10022""","146290"
"11104","11104","=""11104""","5541"
"10040","10040","=""10040""","5351"
"10010","10010","=""10010""","78761"
"10021","10021","=""10021""","29228"
"10065","10065","=""10065""","54523"
"10026","10026","=""10026""","4047"
"10012","10012","=""10012""","43226"
"10018","10018","=""10018""","138742"
"10017","10017","=""10017""","143777"
"10028","10028","=""10028""","18504"
"10038","10038","=""10038""","42794"
"10030","10030","=""10030""","4570"
"10037","10037","=""10037""","5094"
"11359","11359","=""11359""","65"
"10044","10044","=""10044""","3318"
"10075","10075","=""10075""","9802"
"11005","11005","=""11005""","317"
"10007","10007","=""10007""","52351"
"10280","10280","=""10280""","10518"
"10069","10069","=""10069""","716"
"10006","10006","=""10006""","18576"
"10282","10282","=""10282""","10972"
"10005","10005","=""10005""","46427"
"11109","11109","=""11109""","846"
"10311","10311","=""10311""","78"
"11425","11425","=""11425""","11"
"11451","11451","=""11451""","274"
"11424","11424","=""11424""","157"
"10020","10020","=""10020""","20620"
"10199","10199","=""10199""","29"
"10119","10119","=""10119""","11115"
"10278","10278","=""10278""","681"
"10162","10162","=""10162""","239"
"10110","10110","=""10110""","10677"
"10170","10170","=""10170""","11188"
"10103","10103","=""10103""","9556"
"10112","10112","=""10112""","10945"
"10174","10174","=""10174""","6303"
"10168","10168","=""10168""","5779"
"10165","10165","=""10165""","6440"
"10171","10171","=""10171""","2033"
"10152","10152","=""10152""","3068"
"10172","10172","=""10172""","6039"
"10167","10167","=""10167""","4993"
"10154","10154","=""10154""","6649"
"11351","11351","=""11351""","N/A"
"10173","10173","=""10173""","5659"
"10153","10153","=""10153""","6315"
"10279","10279","=""10279""","3317"
"10169","10169","=""10169""","10140"
"10111","10111","=""10111""","6104"
"10271","10271","=""10271""","6547"
"10115","10115","=""10115""","1971"
"10177","10177","=""10177""","1598"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
