"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2015."
"10314","10314","=""10314""","24808"
"11234","11234","=""11234""","17550"
"10312","10312","=""10312""","6817"
"10306","10306","=""10306""","12302"
"11430","11430","=""11430""","34072"
"10309","10309","=""10309""","7194"
"10305","10305","=""10305""","10438"
"10304","10304","=""10304""","7250"
"11385","11385","=""11385""","18737"
"11236","11236","=""11236""","13270"
"10301","10301","=""10301""","7951"
"10464","10464","=""10464""","1595"
"11208","11208","=""11208""","14867"
"10465","10465","=""10465""","7448"
"11434","11434","=""11434""","12163"
"10303","10303","=""10303""","6811"
"11413","11413","=""11413""","8724"
"11357","11357","=""11357""","8191"
"11691","11691","=""11691""","10040"
"11101","11101","=""11101""","77703"
"11368","11368","=""11368""","12614"
"11207","11207","=""11207""","15308"
"11378","11378","=""11378""","20975"
"10471","10471","=""10471""","8896"
"11697","11697","=""11697""","420"
"11367","11367","=""11367""","7237"
"11362","11362","=""11362""","4013"
"11377","11377","=""11377""","18962"
"11365","11365","=""11365""","10175"
"10469","10469","=""10469""","9009"
"11364","11364","=""11364""","3595"
"11235","11235","=""11235""","24048"
"10461","10461","=""10461""","33256"
"11414","11414","=""11414""","3953"
"11211","11211","=""11211""","47341"
"10467","10467","=""10467""","26767"
"11229","11229","=""11229""","16205"
"11354","11354","=""11354""","28313"
"11215","11215","=""11215""","26496"
"11214","11214","=""11214""","15221"
"11432","11432","=""11432""","22176"
"10473","10473","=""10473""","9014"
"11203","11203","=""11203""","24244"
"11209","11209","=""11209""","15352"
"11379","11379","=""11379""","4449"
"11420","11420","=""11420""","5838"
"11223","11223","=""11223""","15799"
"11422","11422","=""11422""","3203"
"10466","10466","=""10466""","10658"
"11375","11375","=""11375""","30677"
"10308","10308","=""10308""","2703"
"10307","10307","=""10307""","1960"
"11358","11358","=""11358""","6367"
"10475","10475","=""10475""","11049"
"11230","11230","=""11230""","29777"
"10310","10310","=""10310""","7640"
"11361","11361","=""11361""","9837"
"11220","11220","=""11220""","27528"
"11355","11355","=""11355""","25228"
"11105","11105","=""11105""","10767"
"11412","11412","=""11412""","2254"
"11210","11210","=""11210""","13940"
"11418","11418","=""11418""","13392"
"11222","11222","=""11222""","17644"
"11224","11224","=""11224""","7488"
"10463","10463","=""10463""","14043"
"11204","11204","=""11204""","14269"
"11427","11427","=""11427""","5026"
"11356","11356","=""11356""","10929"
"11433","11433","=""11433""","4825"
"11212","11212","=""11212""","12504"
"10474","10474","=""10474""","17287"
"11435","11435","=""11435""","7667"
"11373","11373","=""11373""","26470"
"11370","11370","=""11370""","12040"
"10462","10462","=""10462""","15010"
"11219","11219","=""11219""","43100"
"11228","11228","=""11228""","5530"
"11231","11231","=""11231""","13931"
"10470","10470","=""10470""","2486"
"11206","11206","=""11206""","22901"
"10035","10035","=""10035""","15924"
"11218","11218","=""11218""","18944"
"11201","11201","=""11201""","116678"
"11423","11423","=""11423""","9532"
"11360","11360","=""11360""","3401"
"11221","11221","=""11221""","8067"
"11426","11426","=""11426""","3128"
"11233","11233","=""11233""","6743"
"11694","11694","=""11694""","3042"
"10460","10460","=""10460""","8057"
"11429","11429","=""11429""","2626"
"11421","11421","=""11421""","2981"
"11226","11226","=""11226""","10433"
"11232","11232","=""11232""","16064"
"10302","10302","=""10302""","4641"
"11411","11411","=""11411""","1720"
"11419","11419","=""11419""","4650"
"11417","11417","=""11417""","4496"
"11238","11238","=""11238""","9970"
"10034","10034","=""10034""","5248"
"11371","11371","=""11371""","9091"
"11366","11366","=""11366""","3082"
"10468","10468","=""10468""","10188"
"11369","11369","=""11369""","7476"
"11213","11213","=""11213""","8700"
"11692","11692","=""11692""","1840"
"10457","10457","=""10457""","16295"
"10472","10472","=""10472""","5230"
"10454","10454","=""10454""","10752"
"10451","10451","=""10451""","22257"
"10456","10456","=""10456""","10741"
"10458","10458","=""10458""","19310"
"11237","11237","=""11237""","14538"
"10452","10452","=""10452""","7663"
"11693","11693","=""11693""","2097"
"11004","11004","=""11004""","11321"
"11205","11205","=""11205""","14942"
"11374","11374","=""11374""","11867"
"11216","11216","=""11216""","5028"
"10453","10453","=""10453""","7264"
"11225","11225","=""11225""","6970"
"10002","10002","=""10002""","23441"
"11363","11363","=""11363""","1166"
"10027","10027","=""10027""","47750"
"11106","11106","=""11106""","13441"
"10024","10024","=""10024""","21478"
"11428","11428","=""11428""","3026"
"10459","10459","=""10459""","7617"
"10029","10029","=""10029""","33146"
"11436","11436","=""11436""","1253"
"11102","11102","=""11102""","8174"
"10025","10025","=""10025""","22559"
"11217","11217","=""11217""","24119"
"11372","11372","=""11372""","9350"
"10455","10455","=""10455""","12598"
"11103","11103","=""11103""","9450"
"10019","10019","=""10019""","162805"
"10011","10011","=""10011""","89099"
"11416","11416","=""11416""","7797"
