"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with fewer than 500 employees in 2017."
"10314","10314","=""10314""","12280"
"11234","11234","=""11234""","10417"
"10312","10312","=""10312""","5100"
"10306","10306","=""10306""","6675"
"11430","11430","=""11430""","3778"
"10309","10309","=""10309""","5651"
"10305","10305","=""10305""","5708"
"10304","10304","=""10304""","4008"
"11385","11385","=""11385""","11033"
"11236","11236","=""11236""","7448"
"10301","10301","=""10301""","4472"
"10464","10464","=""10464""","1270"
"11208","11208","=""11208""","6289"
"10465","10465","=""10465""","4357"
"11434","11434","=""11434""","7183"
"10303","10303","=""10303""","3901"
"11413","11413","=""11413""","4599"
"11357","11357","=""11357""","5933"
"11691","11691","=""11691""","6006"
"11101","11101","=""11101""","37941"
"11368","11368","=""11368""","7610"
"11207","11207","=""11207""","8418"
"11378","11378","=""11378""","14893"
"10471","10471","=""10471""","4345"
"11697","11697","=""11697""","334"
"11367","11367","=""11367""","3248"
"11362","11362","=""11362""","2331"
"11377","11377","=""11377""","12764"
"11365","11365","=""11365""","4647"
"10469","10469","=""10469""","4867"
"11364","11364","=""11364""","2393"
"11235","11235","=""11235""","13372"
"10461","10461","=""10461""","8236"
"11414","11414","=""11414""","2740"
"11211","11211","=""11211""","30341"
"10467","10467","=""10467""","6826"
"11229","11229","=""11229""","10817"
"11354","11354","=""11354""","20807"
"11215","11215","=""11215""","14509"
"11214","11214","=""11214""","9836"
"11432","11432","=""11432""","9190"
"10473","10473","=""10473""","3749"
"11203","11203","=""11203""","5325"
"11209","11209","=""11209""","10469"
"11379","11379","=""11379""","3651"
"11420","11420","=""11420""","2123"
"11223","11223","=""11223""","12009"
"11422","11422","=""11422""","1882"
"10466","10466","=""10466""","4597"
"11375","11375","=""11375""","11982"
"10308","10308","=""10308""","2718"
"10307","10307","=""10307""","1108"
"11358","11358","=""11358""","5203"
"10475","10475","=""10475""","2995"
"11230","11230","=""11230""","13272"
"10310","10310","=""10310""","3724"
"11361","11361","=""11361""","5692"
"11220","11220","=""11220""","16719"
"11355","11355","=""11355""","10607"
"11105","11105","=""11105""","7093"
"11412","11412","=""11412""","1400"
"11210","11210","=""11210""","6711"
"11418","11418","=""11418""","5620"
"11222","11222","=""11222""","13115"
"11224","11224","=""11224""","5376"
"10463","10463","=""10463""","6890"
"11204","11204","=""11204""","11143"
"11427","11427","=""11427""","1675"
"11356","11356","=""11356""","5776"
"11433","11433","=""11433""","3430"
"11212","11212","=""11212""","3500"
"10474","10474","=""10474""","10470"
"11435","11435","=""11435""","5534"
"11373","11373","=""11373""","8398"
"11370","11370","=""11370""","2893"
"10462","10462","=""10462""","6817"
"11219","11219","=""11219""","26669"
"11228","11228","=""11228""","4190"
"11231","11231","=""11231""","9898"
"10470","10470","=""10470""","3158"
"11206","11206","=""11206""","10351"
"10035","10035","=""10035""","6061"
"11218","11218","=""11218""","11571"
"11201","11201","=""11201""","25863"
"11423","11423","=""11423""","2524"
"11360","11360","=""11360""","1371"
"11221","11221","=""11221""","4075"
"11426","11426","=""11426""","1350"
"11233","11233","=""11233""","3467"
"11694","11694","=""11694""","2349"
"10460","10460","=""10460""","2785"
"11429","11429","=""11429""","2155"
"11421","11421","=""11421""","1988"
"11226","11226","=""11226""","5613"
"11232","11232","=""11232""","13106"
"10302","10302","=""10302""","2517"
"11411","11411","=""11411""","744"
"11419","11419","=""11419""","2852"
"11417","11417","=""11417""","2045"
"11238","11238","=""11238""","6695"
"10034","10034","=""10034""","3269"
"11371","11371","=""11371""","362"
"11366","11366","=""11366""","2144"
"10468","10468","=""10468""","4220"
"11369","11369","=""11369""","3035"
"11213","11213","=""11213""","4403"
"11692","11692","=""11692""","1536"
"10457","10457","=""10457""","5862"
"10472","10472","=""10472""","3007"
"10454","10454","=""10454""","6437"
"10451","10451","=""10451""","7668"
"10456","10456","=""10456""","4951"
"10458","10458","=""10458""","6180"
"11237","11237","=""11237""","9216"
"10452","10452","=""10452""","4541"
"11693","11693","=""11693""","1487"
"11004","11004","=""11004""","1147"
"11205","11205","=""11205""","9657"
"11374","11374","=""11374""","6141"
"11216","11216","=""11216""","5003"
"10453","10453","=""10453""","3540"
"11225","11225","=""11225""","3984"
"10002","10002","=""10002""","17597"
"11363","11363","=""11363""","863"
"10027","10027","=""10027""","9312"
"11106","11106","=""11106""","8592"
"10024","10024","=""10024""","14820"
"11428","11428","=""11428""","1577"
"10459","10459","=""10459""","3474"
"10029","10029","=""10029""","7019"
"11436","11436","=""11436""","978"
"11102","11102","=""11102""","5209"
"10025","10025","=""10025""","12595"
"11217","11217","=""11217""","10915"
"11372","11372","=""11372""","6904"
"10455","10455","=""10455""","4740"
"11103","11103","=""11103""","6539"
"10019","10019","=""10019""","55405"
"10011","10011","=""10011""","38355"
"11416","11416","=""11416""","3249"
"10032","10032","=""10032""","5557"
"10031","10031","=""10031""","3776"
"11239","11239","=""11239""","1238"
"10009","10009","=""10009""","6906"
"10001","10001","=""10001""","74101"
"10033","10033","=""10033""","4594"
"10003","10003","=""10003""","34845"
"11415","11415","=""11415""","3452"
"10014","10014","=""10014""","22498"
"10013","10013","=""10013""","43927"
"10004","10004","=""10004""","20250"
"10016","10016","=""10016""","51676"
"10023","10023","=""10023""","17342"
"10128","10128","=""10128""","13328"
"10036","10036","=""10036""","53329"
"10039","10039","=""10039""","935"
"10022","10022","=""10022""","54965"
"11104","11104","=""11104""","2483"
"10040","10040","=""10040""","2737"
"10010","10010","=""10010""","31386"
"10021","10021","=""10021""","15500"
"10065","10065","=""10065""","16772"
"10026","10026","=""10026""","3003"
"10012","10012","=""10012""","27314"
"10018","10018","=""10018""","76035"
"10017","10017","=""10017""","51073"
"10028","10028","=""10028""","11531"
"10038","10038","=""10038""","17617"
"10030","10030","=""10030""","2068"
"10037","10037","=""10037""","1342"
"11359","11359","=""11359""","2"
"10044","10044","=""10044""","780"
"10075","10075","=""10075""","8553"
"11005","11005","=""11005""","218"
"10007","10007","=""10007""","12283"
"10280","10280","=""10280""","2116"
"10069","10069","=""10069""","450"
"10006","10006","=""10006""","8326"
"10282","10282","=""10282""","1022"
"10005","10005","=""10005""","16619"
"11109","11109","=""11109""","768"
"10311","10311","=""10311""","99"
"11425","11425","=""11425""","10"
"11451","11451","=""11451""","16"
"11424","11424","=""11424""","146"
"10020","10020","=""10020""","4119"
"10199","10199","=""10199""","27"
"10119","10119","=""10119""","2259"
"10278","10278","=""10278""","83"
"10162","10162","=""10162""","235"
"10110","10110","=""10110""","2923"
"10170","10170","=""10170""","2714"
"10103","10103","=""10103""","1654"
"10112","10112","=""10112""","952"
"10174","10174","=""10174""","1942"
"10168","10168","=""10168""","2560"
"10165","10165","=""10165""","3420"
"10171","10171","=""10171""","1085"
"10152","10152","=""10152""","1358"
"10172","10172","=""10172""","1170"
"10167","10167","=""10167""","2062"
"10154","10154","=""10154""","824"
"11351","11351","=""11351""","13"
"10173","10173","=""10173""","2057"
"10153","10153","=""10153""","1386"
"10279","10279","=""10279""","1461"
"10169","10169","=""10169""","2102"
"10111","10111","=""10111""","1535"
"10271","10271","=""10271""","2597"
"10115","10115","=""10115""","1554"
"10177","10177","=""10177""","758"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
