"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2015."
"11417","11417","=""11417""","544"
"11238","11238","=""11238""","1801"
"10034","10034","=""10034""","1803"
"11371","11371","=""11371""","7956"
"11366","11366","=""11366""","825"
"10468","10468","=""10468""","3691"
"11369","11369","=""11369""","3365"
"11213","11213","=""11213""","2370"
"11692","11692","=""11692""","188"
"10457","10457","=""10457""","6175"
"10472","10472","=""10472""","702"
"10454","10454","=""10454""","1680"
"10451","10451","=""10451""","7751"
"10456","10456","=""10456""","2790"
"10458","10458","=""10458""","11835"
"11237","11237","=""11237""","5199"
"10452","10452","=""10452""","934"
"11693","11693","=""11693""","86"
"11004","11004","=""11004""","9927"
"11205","11205","=""11205""","4775"
"11374","11374","=""11374""","6221"
"11216","11216","=""11216""","936"
"10453","10453","=""10453""","2135"
"11225","11225","=""11225""","1187"
"10002","10002","=""10002""","4276"
"11363","11363","=""11363""","95"
"10027","10027","=""10027""","36031"
"11106","11106","=""11106""","3254"
"10024","10024","=""10024""","4839"
"11428","11428","=""11428""","290"
"10459","10459","=""10459""","1893"
"10029","10029","=""10029""","20128"
"11436","11436","=""11436""","109"
"11102","11102","=""11102""","2796"
"10025","10025","=""10025""","8944"
"11217","11217","=""11217""","11250"
"11372","11372","=""11372""","1585"
"10455","10455","=""10455""","5938"
"11103","11103","=""11103""","2000"
"10019","10019","=""10019""","104055"
"10011","10011","=""10011""","49483"
"11416","11416","=""11416""","4265"
"10032","10032","=""10032""","11043"
"10031","10031","=""10031""","1072"
"11239","11239","=""11239""","2264"
"10009","10009","=""10009""","1041"
"10001","10001","=""10001""","98723"
"10033","10033","=""10033""","3372"
"10003","10003","=""10003""","65975"
"11415","11415","=""11415""","3017"
"10014","10014","=""10014""","17479"
"10013","10013","=""10013""","38817"
"10004","10004","=""10004""","47145"
"10016","10016","=""10016""","58346"
"10023","10023","=""10023""","17991"
"10128","10128","=""10128""","4761"
"10036","10036","=""10036""","101700"
"10039","10039","=""10039""","245"
"10022","10022","=""10022""","87630"
"11104","11104","=""11104""","2910"
"10040","10040","=""10040""","1531"
"10010","10010","=""10010""","44650"
"10021","10021","=""10021""","13834"
"10065","10065","=""10065""","36365"
"10026","10026","=""10026""","953"
"10012","10012","=""10012""","15867"
"10018","10018","=""10018""","59949"
"10017","10017","=""10017""","91301"
"10028","10028","=""10028""","6714"
"10038","10038","=""10038""","21730"
"10030","10030","=""10030""","793"
"10037","10037","=""10037""","1273"
"11359","11359","=""11359""","37"
"10044","10044","=""10044""","100"
"10075","10075","=""10075""","1811"
"11005","11005","=""11005""","10"
"10007","10007","=""10007""","20039"
"10280","10280","=""10280""","8548"
"10069","10069","=""10069""","159"
"10006","10006","=""10006""","9224"
"10282","10282","=""10282""","9934"
"10005","10005","=""10005""","30474"
"11109","11109","=""11109""","49"
"10311","10311","=""10311""","40"
"11425","11425","=""11425""","1"
"11451","11451","=""11451""","144"
"11424","11424","=""11424""","1"
"10020","10020","=""10020""","16492"
"10199","10199","=""10199""","0"
"10119","10119","=""10119""","8310"
"10278","10278","=""10278""","111"
"10162","10162","=""10162""","4"
"10110","10110","=""10110""","7442"
"10170","10170","=""10170""","7652"
"10103","10103","=""10103""","7365"
"10112","10112","=""10112""","9489"
"10174","10174","=""10174""","4652"
"10168","10168","=""10168""","3334"
"10165","10165","=""10165""","3133"
"10171","10171","=""10171""","1132"
"10152","10152","=""10152""","1948"
"10172","10172","=""10172""","5154"
"10167","10167","=""10167""","3215"
"10154","10154","=""10154""","5973"
"11351","11351","=""11351""","N/A"
"10173","10173","=""10173""","3047"
"10153","10153","=""10153""","4918"
"10279","10279","=""10279""","2183"
"10169","10169","=""10169""","7810"
"10111","10111","=""10111""","4454"
"10271","10271","=""10271""","2079"
"10115","10115","=""10115""","209"
"10177","10177","=""10177""","844"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
