"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2015."
"10314","10314","=""10314""","9904"
"11234","11234","=""11234""","7048"
"10312","10312","=""10312""","930"
"10306","10306","=""10306""","4426"
"11430","11430","=""11430""","28287"
"10309","10309","=""10309""","2284"
"10305","10305","=""10305""","4158"
"10304","10304","=""10304""","2856"
"11385","11385","=""11385""","4481"
"11236","11236","=""11236""","3801"
"10301","10301","=""10301""","1365"
"10464","10464","=""10464""","88"
"11208","11208","=""11208""","4079"
"10465","10465","=""10465""","1783"
"11434","11434","=""11434""","3326"
"10303","10303","=""10303""","2542"
"11413","11413","=""11413""","3749"
"11357","11357","=""11357""","1294"
"11691","11691","=""11691""","2434"
"11101","11101","=""11101""","33957"
"11368","11368","=""11368""","3786"
"11207","11207","=""11207""","5182"
"11378","11378","=""11378""","7022"
"10471","10471","=""10471""","4534"
"11697","11697","=""11697""","25"
"11367","11367","=""11367""","2203"
"11362","11362","=""11362""","1469"
"11377","11377","=""11377""","4938"
"11365","11365","=""11365""","3081"
"10469","10469","=""10469""","2261"
"11364","11364","=""11364""","454"
"11235","11235","=""11235""","6916"
"10461","10461","=""10461""","18054"
"11414","11414","=""11414""","759"
"11211","11211","=""11211""","15142"
"10467","10467","=""10467""","16730"
"11229","11229","=""11229""","4097"
"11354","11354","=""11354""","8384"
"11215","11215","=""11215""","11171"
"11214","11214","=""11214""","3675"
"11432","11432","=""11432""","8506"
"10473","10473","=""10473""","3224"
"11203","11203","=""11203""","4230"
"11209","11209","=""11209""","3982"
"11379","11379","=""11379""","515"
"11420","11420","=""11420""","2589"
"11223","11223","=""11223""","2753"
"11422","11422","=""11422""","919"
"10466","10466","=""10466""","5013"
"11375","11375","=""11375""","17548"
"10308","10308","=""10308""","401"
"10307","10307","=""10307""","87"
"11358","11358","=""11358""","681"
"10475","10475","=""10475""","6831"
"11230","11230","=""11230""","14243"
"10310","10310","=""10310""","3656"
"11361","11361","=""11361""","2237"
"11220","11220","=""11220""","9032"
"11355","11355","=""11355""","14384"
"11105","11105","=""11105""","1449"
"11412","11412","=""11412""","338"
"11210","11210","=""11210""","4702"
"11418","11418","=""11418""","5758"
"11222","11222","=""11222""","3277"
"11224","11224","=""11224""","1091"
"10463","10463","=""10463""","4414"
"11204","11204","=""11204""","1569"
"11427","11427","=""11427""","1190"
"11356","11356","=""11356""","5102"
"11433","11433","=""11433""","807"
"11212","11212","=""11212""","5461"
"10474","10474","=""10474""","3883"
"11435","11435","=""11435""","1596"
"11373","11373","=""11373""","9970"
"11370","11370","=""11370""","3367"
"10462","10462","=""10462""","6611"
"11219","11219","=""11219""","17663"
"11228","11228","=""11228""","552"
"11231","11231","=""11231""","1995"
"10470","10470","=""10470""","169"
"11206","11206","=""11206""","7444"
"10035","10035","=""10035""","5991"
"11218","11218","=""11218""","8226"
"11201","11201","=""11201""","33187"
"11423","11423","=""11423""","6432"
"11360","11360","=""11360""","1699"
"11221","11221","=""11221""","981"
"11426","11426","=""11426""","967"
"11233","11233","=""11233""","1814"
"11694","11694","=""11694""","313"
"10460","10460","=""10460""","3483"
"11429","11429","=""11429""","327"
"11421","11421","=""11421""","637"
"11226","11226","=""11226""","2882"
"11232","11232","=""11232""","2863"
"10302","10302","=""10302""","1611"
"11411","11411","=""11411""","314"
"11419","11419","=""11419""","1570"
