"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2016."
"10119","10119","=""10119""","13644"
"10278","10278","=""10278""","141"
"10162","10162","=""10162""","2"
"10110","10110","=""10110""","6591"
"10170","10170","=""10170""","8082"
"10103","10103","=""10103""","7016"
"10112","10112","=""10112""","11584"
"10174","10174","=""10174""","3477"
"10168","10168","=""10168""","3248"
"10165","10165","=""10165""","3544"
"10171","10171","=""10171""","1326"
"10152","10152","=""10152""","2079"
"10172","10172","=""10172""","3794"
"10167","10167","=""10167""","8716"
"10154","10154","=""10154""","6386"
"11351","11351","=""11351""","1076"
"10173","10173","=""10173""","3500"
"10153","10153","=""10153""","4895"
"10279","10279","=""10279""","2105"
"10169","10169","=""10169""","8603"
"10111","10111","=""10111""","4266"
"10271","10271","=""10271""","1174"
"10115","10115","=""10115""","190"
"10177","10177","=""10177""","1398"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
