"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2016."
"10314","10314","=""10314""","25802"
"11234","11234","=""11234""","18125"
"10312","10312","=""10312""","7341"
"10306","10306","=""10306""","12436"
"11430","11430","=""11430""","33813"
"10309","10309","=""10309""","7849"
"10305","10305","=""10305""","11489"
"10304","10304","=""10304""","7675"
"11385","11385","=""11385""","18181"
"11236","11236","=""11236""","13154"
"10301","10301","=""10301""","8373"
"10464","10464","=""10464""","1580"
"11208","11208","=""11208""","14983"
"10465","10465","=""10465""","8240"
"11434","11434","=""11434""","13435"
"10303","10303","=""10303""","6815"
"11413","11413","=""11413""","9132"
"11357","11357","=""11357""","8478"
"11691","11691","=""11691""","10036"
"11101","11101","=""11101""","82913"
"11368","11368","=""11368""","13148"
"11207","11207","=""11207""","16218"
"11378","11378","=""11378""","21842"
"10471","10471","=""10471""","8976"
"11697","11697","=""11697""","463"
"11367","11367","=""11367""","7301"
"11362","11362","=""11362""","4007"
"11377","11377","=""11377""","18794"
"11365","11365","=""11365""","10250"
"10469","10469","=""10469""","9080"
"11364","11364","=""11364""","3659"
"11235","11235","=""11235""","30693"
"10461","10461","=""10461""","31260"
"11414","11414","=""11414""","3928"
"11211","11211","=""11211""","48487"
"10467","10467","=""10467""","27865"
"11229","11229","=""11229""","16791"
"11354","11354","=""11354""","28486"
"11215","11215","=""11215""","25350"
"11214","11214","=""11214""","15961"
"11432","11432","=""11432""","21947"
"10473","10473","=""10473""","8782"
"11203","11203","=""11203""","23671"
"11209","11209","=""11209""","16088"
"11379","11379","=""11379""","6336"
"11420","11420","=""11420""","5690"
"11223","11223","=""11223""","16656"
"11422","11422","=""11422""","3289"
"10466","10466","=""10466""","10821"
"11375","11375","=""11375""","30360"
"10308","10308","=""10308""","2807"
"10307","10307","=""10307""","2048"
"11358","11358","=""11358""","6444"
"10475","10475","=""10475""","10590"
"11230","11230","=""11230""","32646"
"10310","10310","=""10310""","7796"
"11361","11361","=""11361""","16992"
"11220","11220","=""11220""","28841"
"11355","11355","=""11355""","26090"
"11105","11105","=""11105""","11170"
"11412","11412","=""11412""","2481"
"11210","11210","=""11210""","13833"
"11418","11418","=""11418""","13669"
"11222","11222","=""11222""","16287"
"11224","11224","=""11224""","8463"
"10463","10463","=""10463""","14064"
"11204","11204","=""11204""","14765"
"11427","11427","=""11427""","5865"
"11356","11356","=""11356""","10621"
"11433","11433","=""11433""","5304"
"11212","11212","=""11212""","12641"
"10474","10474","=""10474""","17756"
"11435","11435","=""11435""","8098"
"11373","11373","=""11373""","24487"
"11370","11370","=""11370""","13549"
"10462","10462","=""10462""","14771"
"11219","11219","=""11219""","46572"
"11228","11228","=""11228""","5792"
"11231","11231","=""11231""","14589"
"10470","10470","=""10470""","3235"
"11206","11206","=""11206""","24509"
"10035","10035","=""10035""","16405"
"11218","11218","=""11218""","20547"
"11201","11201","=""11201""","121273"
"11423","11423","=""11423""","3690"
"11360","11360","=""11360""","3292"
"11221","11221","=""11221""","8530"
"11426","11426","=""11426""","3029"
"11233","11233","=""11233""","6975"
"11694","11694","=""11694""","3041"
"10460","10460","=""10460""","7189"
"11429","11429","=""11429""","2720"
"11421","11421","=""11421""","2902"
"11226","11226","=""11226""","10606"
"11232","11232","=""11232""","16934"
"10302","10302","=""10302""","4679"
"11411","11411","=""11411""","1745"
"11419","11419","=""11419""","4715"
"11417","11417","=""11417""","4515"
"11238","11238","=""11238""","10879"
"10034","10034","=""10034""","4539"
"11371","11371","=""11371""","10170"
"11366","11366","=""11366""","3257"
"10468","10468","=""10468""","8498"
"11369","11369","=""11369""","7866"
"11213","11213","=""11213""","8894"
"11692","11692","=""11692""","1911"
"10457","10457","=""10457""","16122"
"10472","10472","=""10472""","5291"
"10454","10454","=""10454""","10680"
"10451","10451","=""10451""","20713"
"10456","10456","=""10456""","11147"
"10458","10458","=""10458""","18395"
"11237","11237","=""11237""","16234"
"10452","10452","=""10452""","8241"
"11693","11693","=""11693""","2255"
"11004","11004","=""11004""","11412"
"11205","11205","=""11205""","16172"
"11374","11374","=""11374""","11946"
"11216","11216","=""11216""","5923"
"10453","10453","=""10453""","7815"
"11225","11225","=""11225""","7054"
"10002","10002","=""10002""","27007"
"11363","11363","=""11363""","1116"
"10027","10027","=""10027""","48057"
"11106","11106","=""11106""","13212"
"10024","10024","=""10024""","21580"
"11428","11428","=""11428""","3121"
"10459","10459","=""10459""","8020"
"10029","10029","=""10029""","34425"
"11436","11436","=""11436""","1404"
"11102","11102","=""11102""","8422"
"10025","10025","=""10025""","24678"
"11217","11217","=""11217""","24872"
"11372","11372","=""11372""","9794"
"10455","10455","=""10455""","13207"
"11103","11103","=""11103""","9605"
