"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2016."
"10019","10019","=""10019""","172261"
"10011","10011","=""10011""","86225"
"11416","11416","=""11416""","8178"
"10032","10032","=""10032""","19728"
"10031","10031","=""10031""","7090"
"11239","11239","=""11239""","3581"
"10009","10009","=""10009""","8776"
"10001","10001","=""10001""","196835"
"10033","10033","=""10033""","9836"
"10003","10003","=""10003""","102437"
"11415","11415","=""11415""","8472"
"10014","10014","=""10014""","43804"
"10013","10013","=""10013""","163733"
"10004","10004","=""10004""","76184"
"10016","10016","=""10016""","122362"
"10023","10023","=""10023""","46969"
"10128","10128","=""10128""","19144"
"10036","10036","=""10036""","161490"
"10039","10039","=""10039""","1500"
"10022","10022","=""10022""","141658"
"11104","11104","=""11104""","5937"
"10040","10040","=""10040""","5427"
"10010","10010","=""10010""","79594"
"10021","10021","=""10021""","30000"
"10065","10065","=""10065""","55308"
"10026","10026","=""10026""","4882"
"10012","10012","=""10012""","51095"
"10018","10018","=""10018""","148439"
"10017","10017","=""10017""","144579"
"10028","10028","=""10028""","19003"
"10038","10038","=""10038""","47361"
"10030","10030","=""10030""","4745"
"10037","10037","=""10037""","5193"
"11359","11359","=""11359""","29"
"10044","10044","=""10044""","3219"
"10075","10075","=""10075""","10102"
"11005","11005","=""11005""","222"
"10007","10007","=""10007""","50175"
"10280","10280","=""10280""","8668"
"10069","10069","=""10069""","673"
"10006","10006","=""10006""","20488"
"10282","10282","=""10282""","12400"
"10005","10005","=""10005""","51044"
"11109","11109","=""11109""","954"
"10311","10311","=""10311""","303"
"11425","11425","=""11425""","11"
"11451","11451","=""11451""","313"
"11424","11424","=""11424""","955"
"10020","10020","=""10020""","19099"
"10199","10199","=""10199""","33"
"10119","10119","=""10119""","16576"
"10278","10278","=""10278""","223"
"10162","10162","=""10162""","253"
"10110","10110","=""10110""","10348"
"10170","10170","=""10170""","10622"
"10103","10103","=""10103""","9006"
"10112","10112","=""10112""","12633"
"10174","10174","=""10174""","5335"
"10168","10168","=""10168""","6014"
"10165","10165","=""10165""","6517"
"10171","10171","=""10171""","2359"
"10152","10152","=""10152""","3146"
"10172","10172","=""10172""","4698"
"10167","10167","=""10167""","10715"
"10154","10154","=""10154""","7125"
"11351","11351","=""11351""","1091"
"10173","10173","=""10173""","5686"
"10153","10153","=""10153""","6333"
"10279","10279","=""10279""","3577"
"10169","10169","=""10169""","11011"
"10111","10111","=""10111""","5920"
"10271","10271","=""10271""","5027"
"10115","10115","=""10115""","1773"
"10177","10177","=""10177""","2241"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
