GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02
Id,Id2,Geography,Median income (dollars); Estimate; Households
8600000US10512,10512,ZCTA5 10512,90585
8600000US10514,10514,ZCTA5 10514,244527
8600000US10516,10516,ZCTA5 10516,93750
8600000US10517,10517,ZCTA5 10517,100313
8600000US10518,10518,ZCTA5 10518,190058
8600000US10519,10519,ZCTA5 10519,-
8600000US10520,10520,ZCTA5 10520,94261
8600000US10522,10522,ZCTA5 10522,120631
8600000US10523,10523,ZCTA5 10523,90406
8600000US10524,10524,ZCTA5 10524,115833
8600000US10526,10526,ZCTA5 10526,123571
8600000US10527,10527,ZCTA5 10527,144286
8600000US10528,10528,ZCTA5 10528,110417
8600000US10530,10530,ZCTA5 10530,101553
8600000US10532,10532,ZCTA5 10532,97125
8600000US10533,10533,ZCTA5 10533,135697
8600000US10535,10535,ZCTA5 10535,65147
8600000US10536,10536,ZCTA5 10536,161650
8600000US10537,10537,ZCTA5 10537,73235
8600000US10538,10538,ZCTA5 10538,153750
8600000US10541,10541,ZCTA5 10541,109076
8600000US10543,10543,ZCTA5 10543,82265
8600000US10545,10545,ZCTA5 10545,-
8600000US10546,10546,ZCTA5 10546,144167
8600000US10547,10547,ZCTA5 10547,96833
8600000US10548,10548,ZCTA5 10548,78724
8600000US10549,10549,ZCTA5 10549,95704
8600000US10550,10550,ZCTA5 10550,42002
8600000US10552,10552,ZCTA5 10552,68196
8600000US10553,10553,ZCTA5 10553,60403
8600000US10560,10560,ZCTA5 10560,129306
8600000US10562,10562,ZCTA5 10562,73797
8600000US10566,10566,ZCTA5 10566,55453
8600000US10567,10567,ZCTA5 10567,118482
8600000US10570,10570,ZCTA5 10570,124427
8600000US10573,10573,ZCTA5 10573,69523
8600000US10576,10576,ZCTA5 10576,180000
8600000US10577,10577,ZCTA5 10577,193125
8600000US10578,10578,ZCTA5 10578,106176
8600000US10579,10579,ZCTA5 10579,120162
8600000US10580,10580,ZCTA5 10580,168750
8600000US10583,10583,ZCTA5 10583,177332
8600000US10588,10588,ZCTA5 10588,73233
8600000US10589,10589,ZCTA5 10589,94652
8600000US10590,10590,ZCTA5 10590,141646
8600000US10591,10591,ZCTA5 10591,79988
8600000US10594,10594,ZCTA5 10594,133256
8600000US10595,10595,ZCTA5 10595,106331
8600000US10596,10596,ZCTA5 10596,70714
8600000US10597,10597,ZCTA5 10597,222917
8600000US10598,10598,ZCTA5 10598,116741
8600000US10601,10601,ZCTA5 10601,70701
8600000US10603,10603,ZCTA5 10603,94088
8600000US10604,10604,ZCTA5 10604,84741
8600000US10605,10605,ZCTA5 10605,108065
8600000US10606,10606,ZCTA5 10606,75775
8600000US10607,10607,ZCTA5 10607,127232
8600000US10701,10701,ZCTA5 10701,45049
8600000US10703,10703,ZCTA5 10703,60964
8600000US10704,10704,ZCTA5 10704,73956
8600000US10705,10705,ZCTA5 10705,46013
8600000US10706,10706,ZCTA5 10706,119841
8600000US10707,10707,ZCTA5 10707,81818
8600000US10708,10708,ZCTA5 10708,105738
8600000US10709,10709,ZCTA5 10709,100000
8600000US10710,10710,ZCTA5 10710,86132
8600000US10801,10801,ZCTA5 10801,57103
8600000US10803,10803,ZCTA5 10803,150688
8600000US10804,10804,ZCTA5 10804,166000
8600000US10805,10805,ZCTA5 10805,62556
8600000US10901,10901,ZCTA5 10901,93389
8600000US10910,10910,ZCTA5 10910,-
8600000US10911,10911,ZCTA5 10911,-
8600000US10913,10913,ZCTA5 10913,123787
8600000US10914,10914,ZCTA5 10914,126389
8600000US10915,10915,ZCTA5 10915,-
8600000US10916,10916,ZCTA5 10916,107938
8600000US10917,10917,ZCTA5 10917,97778
8600000US10918,10918,ZCTA5 10918,98314
8600000US10919,10919,ZCTA5 10919,98017
8600000US10920,10920,ZCTA5 10920,101250
8600000US10921,10921,ZCTA5 10921,85182
8600000US10922,10922,ZCTA5 10922,99732
8600000US10923,10923,ZCTA5 10923,79317
8600000US10924,10924,ZCTA5 10924,93947
8600000US10925,10925,ZCTA5 10925,77823
8600000US10926,10926,ZCTA5 10926,68011
8600000US10927,10927,ZCTA5 10927,58750
8600000US10928,10928,ZCTA5 10928,79602
8600000US10930,10930,ZCTA5 10930,129083
8600000US10931,10931,ZCTA5 10931,63438
8600000US10932,10932,ZCTA5 10932,-
8600000US10933,10933,ZCTA5 10933,98086
8600000US10940,10940,ZCTA5 10940,56758
8600000US10941,10941,ZCTA5 10941,65562
8600000US10950,10950,ZCTA5 10950,66959
8600000US10952,10952,ZCTA5 10952,55481
8600000US10953,10953,ZCTA5 10953,127260
8600000US10954,10954,ZCTA5 10954,93816
8600000US10956,10956,ZCTA5 10956,121421
8600000US10958,10958,ZCTA5 10958,87222
8600000US10960,10960,ZCTA5 10960,80742
8600000US10962,10962,ZCTA5 10962,94464
8600000US10963,10963,ZCTA5 10963,71324
8600000US10964,10964,ZCTA5 10964,96979
8600000US10965,10965,ZCTA5 10965,98996
8600000US10968,10968,ZCTA5 10968,97174
8600000US10969,10969,ZCTA5 10969,67292
8600000US10970,10970,ZCTA5 10970,84980
8600000US10973,10973,ZCTA5 10973,93611
8600000US10974,10974,ZCTA5 10974,89107
8600000US10975,10975,ZCTA5 10975,-
8600000US10976,10976,ZCTA5 10976,60972
8600000US10977,10977,ZCTA5 10977,56724
8600000US10979,10979,ZCTA5 10979,70515
8600000US10980,10980,ZCTA5 10980,94159
8600000US10983,10983,ZCTA5 10983,110929
8600000US10984,10984,ZCTA5 10984,112188
8600000US10985,10985,ZCTA5 10985,-
8600000US10986,10986,ZCTA5 10986,119063
8600000US10987,10987,ZCTA5 10987,103795
8600000US10988,10988,ZCTA5 10988,74875
8600000US10989,10989,ZCTA5 10989,105569
8600000US10990,10990,ZCTA5 10990,87775
8600000US10992,10992,ZCTA5 10992,94167
8600000US10993,10993,ZCTA5 10993,53750
8600000US10994,10994,ZCTA5 10994,136250
8600000US10996,10996,ZCTA5 10996,107031
8600000US10998,10998,ZCTA5 10998,86946
8600000US11001,11001,ZCTA5 11001,102306
8600000US11003,11003,ZCTA5 11003,91817
8600000US11004,11004,ZCTA5 11004,91226
8600000US11005,11005,ZCTA5 11005,63368
8600000US11010,11010,ZCTA5 11010,98517
8600000US11020,11020,ZCTA5 11020,123333
8600000US11021,11021,ZCTA5 11021,89556
8600000US11023,11023,ZCTA5 11023,104511
8600000US11024,11024,ZCTA5 11024,96620
8600000US11030,11030,ZCTA5 11030,164159
8600000US11040,11040,ZCTA5 11040,111035
8600000US11042,11042,ZCTA5 11042,-
8600000US11050,11050,ZCTA5 11050,112461
8600000US11096,11096,ZCTA5 11096,45205
8600000US11101,11101,ZCTA5 11101,51964
8600000US11102,11102,ZCTA5 11102,56674
8600000US11103,11103,ZCTA5 11103,62775
8600000US11104,11104,ZCTA5 11104,57155
8600000US11105,11105,ZCTA5 11105,62841
8600000US11106,11106,ZCTA5 11106,56442
8600000US11109,11109,ZCTA5 11109,133070
8600000US11201,11201,ZCTA5 11201,109472
8600000US11203,11203,ZCTA5 11203,46971
8600000US11204,11204,ZCTA5 11204,47135
8600000US11205,11205,ZCTA5 11205,47437
8600000US11206,11206,ZCTA5 11206,31549
8600000US11207,11207,ZCTA5 11207,35849
8600000US11208,11208,ZCTA5 11208,37640
8600000US11209,11209,ZCTA5 11209,65181
8600000US11210,11210,ZCTA5 11210,59520
8600000US11211,11211,ZCTA5 11211,59190
8600000US11212,11212,ZCTA5 11212,28495
8600000US11213,11213,ZCTA5 11213,37556
8600000US11214,11214,ZCTA5 11214,52119
8600000US11215,11215,ZCTA5 11215,108178
8600000US11216,11216,ZCTA5 11216,52239
8600000US11217,11217,ZCTA5 11217,94970
8600000US11218,11218,ZCTA5 11218,60821
8600000US11219,11219,ZCTA5 11219,36573
8600000US11220,11220,ZCTA5 11220,40576
8600000US11221,11221,ZCTA5 11221,43361
8600000US11222,11222,ZCTA5 11222,73391
8600000US11223,11223,ZCTA5 11223,44647
8600000US11224,11224,ZCTA5 11224,31371
8600000US11225,11225,ZCTA5 11225,48597
8600000US11226,11226,ZCTA5 11226,45031
8600000US11228,11228,ZCTA5 11228,63641
8600000US11229,11229,ZCTA5 11229,55187
8600000US11230,11230,ZCTA5 11230,43344
8600000US11231,11231,ZCTA5 11231,84223
8600000US11232,11232,ZCTA5 11232,47785
8600000US11233,11233,ZCTA5 11233,35686
8600000US11234,11234,ZCTA5 11234,75362
8600000US11235,11235,ZCTA5 11235,45578
8600000US11236,11236,ZCTA5 11236,60885
8600000US11237,11237,ZCTA5 11237,46351
8600000US11238,11238,ZCTA5 11238,75757
8600000US11239,11239,ZCTA5 11239,24610
8600000US11351,11351,ZCTA5 11351,-
8600000US11354,11354,ZCTA5 11354,43660
8600000US11355,11355,ZCTA5 11355,38451
8600000US11356,11356,ZCTA5 11356,57849
8600000US11357,11357,ZCTA5 11357,74255
8600000US11358,11358,ZCTA5 11358,66173
8600000US11359,11359,ZCTA5 11359,-
8600000US11360,11360,ZCTA5 11360,82982
8600000US11361,11361,ZCTA5 11361,81846
8600000US11362,11362,ZCTA5 11362,82827
8600000US11363,11363,ZCTA5 11363,90443
8600000US11364,11364,ZCTA5 11364,70408
8600000US11365,11365,ZCTA5 11365,62509
8600000US11366,11366,ZCTA5 11366,78223
8600000US11367,11367,ZCTA5 11367,57310
8600000US11368,11368,ZCTA5 11368,45980
8600000US11369,11369,ZCTA5 11369,51864
8600000US11370,11370,ZCTA5 11370,53293
8600000US11371,11371,ZCTA5 11371,-
8600000US11372,11372,ZCTA5 11372,52792
8600000US11373,11373,ZCTA5 11373,45677
8600000US11374,11374,ZCTA5 11374,55550
8600000US11375,11375,ZCTA5 11375,72982
8600000US11377,11377,ZCTA5 11377,51675
8600000US11378,11378,ZCTA5 11378,61631
8600000US11379,11379,ZCTA5 11379,75320
8600000US11385,11385,ZCTA5 11385,60526
8600000US11411,11411,ZCTA5 11411,81678
8600000US11412,11412,ZCTA5 11412,71995
8600000US11413,11413,ZCTA5 11413,80758
8600000US11414,11414,ZCTA5 11414,70490
8600000US11415,11415,ZCTA5 11415,64055
8600000US11416,11416,ZCTA5 11416,59092
8600000US11417,11417,ZCTA5 11417,66978
8600000US11418,11418,ZCTA5 11418,63079
8600000US11419,11419,ZCTA5 11419,62014
8600000US11420,11420,ZCTA5 11420,61484
8600000US11421,11421,ZCTA5 11421,64544
8600000US11422,11422,ZCTA5 11422,85436
8600000US11423,11423,ZCTA5 11423,66070
8600000US11424,11424,ZCTA5 11424,-
8600000US11425,11425,ZCTA5 11425,-
8600000US11426,11426,ZCTA5 11426,77487
8600000US11427,11427,ZCTA5 11427,65494
8600000US11428,11428,ZCTA5 11428,68675
8600000US11429,11429,ZCTA5 11429,77037
8600000US11430,11430,ZCTA5 11430,-
8600000US11432,11432,ZCTA5 11432,52277
8600000US11433,11433,ZCTA5 11433,45820
8600000US11434,11434,ZCTA5 11434,57454
8600000US11435,11435,ZCTA5 11435,55268
8600000US11436,11436,ZCTA5 11436,66837
8600000US11451,11451,ZCTA5 11451,-
8600000US11501,11501,ZCTA5 11501,89956
8600000US11507,11507,ZCTA5 11507,110400
8600000US11509,11509,ZCTA5 11509,141667
8600000US11510,11510,ZCTA5 11510,95786
8600000US11514,11514,ZCTA5 11514,83750
8600000US11516,11516,ZCTA5 11516,100347
8600000US11518,11518,ZCTA5 11518,91343
8600000US11520,11520,ZCTA5 11520,68945
8600000US11530,11530,ZCTA5 11530,144479
8600000US11542,11542,ZCTA5 11542,74472
8600000US11545,11545,ZCTA5 11545,139485
8600000US11547,11547,ZCTA5 11547,116071
8600000US11548,11548,ZCTA5 11548,120057
8600000US11549,11549,ZCTA5 11549,-
8600000US11550,11550,ZCTA5 11550,57497
8600000US11552,11552,ZCTA5 11552,100326
8600000US11553,11553,ZCTA5 11553,67152
8600000US11554,11554,ZCTA5 11554,93855
8600000US11556,11556,ZCTA5 11556,-
8600000US11557,11557,ZCTA5 11557,114949
8600000US11558,11558,ZCTA5 11558,87176
8600000US11559,11559,ZCTA5 11559,114816
8600000US11560,11560,ZCTA5 11560,110341
8600000US11561,11561,ZCTA5 11561,88249
8600000US11563,11563,ZCTA5 11563,81068
8600000US11565,11565,ZCTA5 11565,106875
8600000US11566,11566,ZCTA5 11566,133333
8600000US11568,11568,ZCTA5 11568,170250
8600000US11569,11569,ZCTA5 11569,114844
8600000US11570,11570,ZCTA5 11570,106574
8600000US11572,11572,ZCTA5 11572,103401
8600000US11575,11575,ZCTA5 11575,75881
8600000US11576,11576,ZCTA5 11576,157057
8600000US11577,11577,ZCTA5 11577,120650
8600000US11579,11579,ZCTA5 11579,113095
8600000US11580,11580,ZCTA5 11580,98922
8600000US11581,11581,ZCTA5 11581,95829
8600000US11590,11590,ZCTA5 11590,92506
8600000US11596,11596,ZCTA5 11596,116143
8600000US11598,11598,ZCTA5 11598,130906
8600000US11691,11691,ZCTA5 11691,41190
8600000US11692,11692,ZCTA5 11692,42333
8600000US11693,11693,ZCTA5 11693,53829
8600000US11694,11694,ZCTA5 11694,79145
8600000US11697,11697,ZCTA5 11697,100909
8600000US11701,11701,ZCTA5 11701,76593
8600000US11702,11702,ZCTA5 11702,104744
8600000US11703,11703,ZCTA5 11703,92817
8600000US11704,11704,ZCTA5 11704,81028
8600000US11705,11705,ZCTA5 11705,95590
8600000US11706,11706,ZCTA5 11706,79928
8600000US11709,11709,ZCTA5 11709,100078
8600000US11710,11710,ZCTA5 11710,115328
8600000US11713,11713,ZCTA5 11713,71101
8600000US11714,11714,ZCTA5 11714,99645
8600000US11715,11715,ZCTA5 11715,113017
8600000US11716,11716,ZCTA5 11716,80068
8600000US11717,11717,ZCTA5 11717,69615
8600000US11718,11718,ZCTA5 11718,119750
8600000US11719,11719,ZCTA5 11719,89375
8600000US11720,11720,ZCTA5 11720,94192
