GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US10516,10516,ZCTA5 10516,114030
8600000US10518,10518,ZCTA5 10518,26005
8600000US10520,10520,ZCTA5 10520,233560
8600000US10522,10522,ZCTA5 10522,167020
8600000US10523,10523,ZCTA5 10523,129480
8600000US10524,10524,ZCTA5 10524,67690
8600000US10526,10526,ZCTA5 10526,23605
8600000US10528,10528,ZCTA5 10528,194270
8600000US10530,10530,ZCTA5 10530,231735
8600000US10532,10532,ZCTA5 10532,63250
8600000US10533,10533,ZCTA5 10533,113400
8600000US10535,10535,ZCTA5 10535,11405
8600000US10536,10536,ZCTA5 10536,176455
8600000US10537,10537,ZCTA5 10537,37275
8600000US10538,10538,ZCTA5 10538,285860
8600000US10541,10541,ZCTA5 10541,492015
8600000US10543,10543,ZCTA5 10543,306795
8600000US10545,10545,ZCTA5 10545,160
8600000US10546,10546,ZCTA5 10546,23770
8600000US10547,10547,ZCTA5 10547,135705
8600000US10548,10548,ZCTA5 10548,58835
8600000US10549,10549,ZCTA5 10549,240775
8600000US10550,10550,ZCTA5 10550,556705
8600000US10552,10552,ZCTA5 10552,319375
8600000US10553,10553,ZCTA5 10553,182130
8600000US10560,10560,ZCTA5 10560,75185
8600000US10562,10562,ZCTA5 10562,463720
8600000US10566,10566,ZCTA5 10566,403420
8600000US10567,10567,ZCTA5 10567,403990
8600000US10570,10570,ZCTA5 10570,179505
8600000US10573,10573,ZCTA5 10573,497560
8600000US10576,10576,ZCTA5 10576,88255
8600000US10577,10577,ZCTA5 10577,43680
8600000US10578,10578,ZCTA5 10578,19150
8600000US10579,10579,ZCTA5 10579,206090
8600000US10580,10580,ZCTA5 10580,231470
8600000US10583,10583,ZCTA5 10583,683610
8600000US10589,10589,ZCTA5 10589,121170
8600000US10590,10590,ZCTA5 10590,127895
8600000US10591,10591,ZCTA5 10591,329380
8600000US10594,10594,ZCTA5 10594,64085
8600000US10595,10595,ZCTA5 10595,92080
8600000US10596,10596,ZCTA5 10596,25645
8600000US10597,10597,ZCTA5 10597,22000
8600000US10598,10598,ZCTA5 10598,487740
8600000US10601,10601,ZCTA5 10601,166070
8600000US10603,10603,ZCTA5 10603,266120
8600000US10604,10604,ZCTA5 10604,135655
8600000US10605,10605,ZCTA5 10605,233070
8600000US10606,10606,ZCTA5 10606,224110
8600000US10607,10607,ZCTA5 10607,101330
8600000US10701,10701,ZCTA5 10701,802740
8600000US10703,10703,ZCTA5 10703,275220
8600000US10704,10704,ZCTA5 10704,565260
8600000US10705,10705,ZCTA5 10705,596745
8600000US10706,10706,ZCTA5 10706,156275
8600000US10707,10707,ZCTA5 10707,157930
