GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US11780,11780,ZCTA5 11780,15551,738,14291,700,219,186,32,36,746,522,0,18,73,61,190,127,2,4,188,127
8600000US11782,11782,ZCTA5 11782,15491,527,14814,510,61,54,0,18,362,198,0,18,41,34,213,111,29,19,184,107
8600000US11783,11783,ZCTA5 11783,21598,801,21040,847,13,16,15,24,224,132,0,21,39,38,267,152,48,74,219,138
8600000US11784,11784,ZCTA5 11784,26455,1282,23506,1283,1009,373,160,161,1093,353,0,21,396,209,291,139,150,95,141,97
8600000US11786,11786,ZCTA5 11786,6180,567,5927,572,33,28,0,16,143,103,0,16,10,11,67,70,33,50,34,48
8600000US11787,11787,ZCTA5 11787,35813,1120,33108,1114,272,147,0,24,1347,353,0,24,580,271,506,206,151,132,355,164
8600000US11788,11788,ZCTA5 11788,16199,766,14413,702,707,360,23,33,630,223,10,15,290,208,126,82,38,44,88,63
8600000US11789,11789,ZCTA5 11789,8221,723,7959,750,11,16,0,16,116,152,0,16,98,126,37,54,0,16,37,54
8600000US11790,11790,ZCTA5 11790,18840,872,13865,709,670,197,0,18,3704,436,0,18,275,83,326,108,117,59,209,87
8600000US11791,11791,ZCTA5 11791,25291,640,18386,647,512,283,32,40,5761,456,0,21,171,147,429,176,104,72,325,152
8600000US11792,11792,ZCTA5 11792,8964,784,8662,730,62,67,5,10,86,104,0,16,73,89,76,68,7,9,69,66
8600000US11793,11793,ZCTA5 11793,32164,973,30141,1002,104,58,0,24,1182,465,11,16,271,174,455,166,127,139,328,109
8600000US11794,11794,ZCTA5 11794,3081,431,1031,217,331,76,0,11,1420,257,0,11,159,56,140,52,73,37,67,39
8600000US11795,11795,ZCTA5 11795,25074,733,23801,713,111,115,9,16,432,207,0,21,283,210,438,219,101,83,337,199
8600000US11796,11796,ZCTA5 11796,3961,389,3827,398,24,24,0,11,30,26,0,11,29,35,51,49,0,11,51,49
8600000US11797,11797,ZCTA5 11797,8574,439,7465,418,150,73,0,16,811,190,0,16,65,40,83,69,3,6,80,68
8600000US11798,11798,ZCTA5 11798,15599,923,3078,568,10121,757,84,103,212,88,0,18,1404,411,700,458,333,269,367,233
8600000US11801,11801,ZCTA5 11801,40274,1301,28423,1422,767,508,53,63,8674,1201,9,15,951,420,1397,650,417,286,980,570
8600000US11803,11803,ZCTA5 11803,28390,604,23640,598,341,209,44,61,3801,363,12,18,233,149,319,109,62,55,257,97
8600000US11804,11804,ZCTA5 11804,4757,279,4417,298,0,11,0,11,286,79,0,11,0,11,54,50,0,11,54,50
