GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC02
Id,Id2,Geography,Median income (dollars); Estimate; Households
0100000US,,United States,57652
8600000US06390,6390,ZCTA5 06390,150703
8600000US07421,7421,ZCTA5 07421,90412
8600000US10001,10001,ZCTA5 10001,85221
8600000US10002,10002,ZCTA5 10002,35449
8600000US10003,10003,ZCTA5 10003,104441
8600000US10004,10004,ZCTA5 10004,140450
8600000US10005,10005,ZCTA5 10005,154213
8600000US10006,10006,ZCTA5 10006,145893
8600000US10007,10007,ZCTA5 10007,242644
8600000US10009,10009,ZCTA5 10009,60521
8600000US10010,10010,ZCTA5 10010,115084
8600000US10011,10011,ZCTA5 10011,123208
8600000US10012,10012,ZCTA5 10012,104561
8600000US10013,10013,ZCTA5 10013,106056
8600000US10014,10014,ZCTA5 10014,127973
8600000US10016,10016,ZCTA5 10016,109250
8600000US10017,10017,ZCTA5 10017,118469
8600000US10018,10018,ZCTA5 10018,107861
8600000US10019,10019,ZCTA5 10019,99063
8600000US10020,10020,ZCTA5 10020,-
8600000US10021,10021,ZCTA5 10021,123842
8600000US10022,10022,ZCTA5 10022,133208
8600000US10023,10023,ZCTA5 10023,123951
8600000US10024,10024,ZCTA5 10024,126107
8600000US10025,10025,ZCTA5 10025,82352
8600000US10026,10026,ZCTA5 10026,54349
8600000US10027,10027,ZCTA5 10027,45536
8600000US10028,10028,ZCTA5 10028,119203
8600000US10029,10029,ZCTA5 10029,34015
8600000US10030,10030,ZCTA5 10030,36118
8600000US10031,10031,ZCTA5 10031,44040
8600000US10032,10032,ZCTA5 10032,41890
8600000US10033,10033,ZCTA5 10033,53044
8600000US10034,10034,ZCTA5 10034,50909
8600000US10035,10035,ZCTA5 10035,27932
8600000US10036,10036,ZCTA5 10036,93707
8600000US10037,10037,ZCTA5 10037,39979
8600000US10038,10038,ZCTA5 10038,85032
8600000US10039,10039,ZCTA5 10039,34197
8600000US10040,10040,ZCTA5 10040,47189
8600000US10044,10044,ZCTA5 10044,92623
8600000US10065,10065,ZCTA5 10065,124322
8600000US10069,10069,ZCTA5 10069,137105
8600000US10075,10075,ZCTA5 10075,129594
8600000US10103,10103,ZCTA5 10103,-
8600000US10110,10110,ZCTA5 10110,-
8600000US10111,10111,ZCTA5 10111,-
8600000US10112,10112,ZCTA5 10112,-
8600000US10115,10115,ZCTA5 10115,-
8600000US10119,10119,ZCTA5 10119,-
8600000US10128,10128,ZCTA5 10128,111937
8600000US10152,10152,ZCTA5 10152,-
8600000US10153,10153,ZCTA5 10153,-
8600000US10154,10154,ZCTA5 10154,-
8600000US10162,10162,ZCTA5 10162,182530
8600000US10165,10165,ZCTA5 10165,-
8600000US10167,10167,ZCTA5 10167,-
8600000US10168,10168,ZCTA5 10168,-
8600000US10169,10169,ZCTA5 10169,-
8600000US10170,10170,ZCTA5 10170,-
8600000US10171,10171,ZCTA5 10171,-
8600000US10172,10172,ZCTA5 10172,-
8600000US10173,10173,ZCTA5 10173,-
8600000US10174,10174,ZCTA5 10174,-
8600000US10177,10177,ZCTA5 10177,-
8600000US10199,10199,ZCTA5 10199,-
8600000US10271,10271,ZCTA5 10271,-
8600000US10278,10278,ZCTA5 10278,-
8600000US10279,10279,ZCTA5 10279,-
8600000US10280,10280,ZCTA5 10280,161419
8600000US10282,10282,ZCTA5 10282,"250,000+"
8600000US10301,10301,ZCTA5 10301,55818
8600000US10302,10302,ZCTA5 10302,60968
8600000US10303,10303,ZCTA5 10303,59898
8600000US10304,10304,ZCTA5 10304,54567
8600000US10305,10305,ZCTA5 10305,76044
8600000US10306,10306,ZCTA5 10306,80025
8600000US10307,10307,ZCTA5 10307,81356
8600000US10308,10308,ZCTA5 10308,91953
8600000US10309,10309,ZCTA5 10309,100343
8600000US10310,10310,ZCTA5 10310,69838
8600000US10311,10311,ZCTA5 10311,-
8600000US10312,10312,ZCTA5 10312,90797
8600000US10314,10314,ZCTA5 10314,80956
8600000US10451,10451,ZCTA5 10451,26979
8600000US10452,10452,ZCTA5 10452,27206
8600000US10453,10453,ZCTA5 10453,24421
8600000US10454,10454,ZCTA5 10454,21542
8600000US10455,10455,ZCTA5 10455,25489
8600000US10456,10456,ZCTA5 10456,26724
8600000US10457,10457,ZCTA5 10457,27036
8600000US10458,10458,ZCTA5 10458,32129
8600000US10459,10459,ZCTA5 10459,25762
8600000US10460,10460,ZCTA5 10460,25948
8600000US10461,10461,ZCTA5 10461,55847
8600000US10462,10462,ZCTA5 10462,49962
8600000US10463,10463,ZCTA5 10463,58881
8600000US10464,10464,ZCTA5 10464,87853
8600000US10465,10465,ZCTA5 10465,74079
8600000US10466,10466,ZCTA5 10466,49906
8600000US10467,10467,ZCTA5 10467,35381
8600000US10468,10468,ZCTA5 10468,35398
8600000US10469,10469,ZCTA5 10469,61090
8600000US10470,10470,ZCTA5 10470,56658
8600000US10471,10471,ZCTA5 10471,80932
8600000US10472,10472,ZCTA5 10472,30593
8600000US10473,10473,ZCTA5 10473,38924
8600000US10474,10474,ZCTA5 10474,25896
8600000US10475,10475,ZCTA5 10475,48734
8600000US10501,10501,ZCTA5 10501,146250
8600000US10502,10502,ZCTA5 10502,159444
8600000US10503,10503,ZCTA5 10503,-
8600000US10504,10504,ZCTA5 10504,213234
8600000US10505,10505,ZCTA5 10505,-
8600000US10506,10506,ZCTA5 10506,217607
8600000US10507,10507,ZCTA5 10507,56736
8600000US10509,10509,ZCTA5 10509,97286
8600000US10510,10510,ZCTA5 10510,160944
8600000US10511,10511,ZCTA5 10511,107201
8600000US10512,10512,ZCTA5 10512,92945
8600000US10514,10514,ZCTA5 10514,"250,000+"
8600000US10516,10516,ZCTA5 10516,101071
8600000US10517,10517,ZCTA5 10517,90125
8600000US10518,10518,ZCTA5 10518,193472
8600000US10519,10519,ZCTA5 10519,-
8600000US10520,10520,ZCTA5 10520,100417
8600000US10522,10522,ZCTA5 10522,126988
8600000US10523,10523,ZCTA5 10523,93033
8600000US10524,10524,ZCTA5 10524,125912
8600000US10526,10526,ZCTA5 10526,123357
8600000US10527,10527,ZCTA5 10527,158977
8600000US10528,10528,ZCTA5 10528,116026
8600000US10530,10530,ZCTA5 10530,103950
8600000US10532,10532,ZCTA5 10532,100278
8600000US10533,10533,ZCTA5 10533,142869
8600000US10535,10535,ZCTA5 10535,65294
8600000US10536,10536,ZCTA5 10536,168490
8600000US10537,10537,ZCTA5 10537,100729
8600000US10538,10538,ZCTA5 10538,165735
8600000US10541,10541,ZCTA5 10541,107296
8600000US10543,10543,ZCTA5 10543,94246
8600000US10545,10545,ZCTA5 10545,-
8600000US10546,10546,ZCTA5 10546,178611
8600000US10547,10547,ZCTA5 10547,97708
8600000US10548,10548,ZCTA5 10548,80369
8600000US10549,10549,ZCTA5 10549,105642
8600000US10550,10550,ZCTA5 10550,43900
8600000US10552,10552,ZCTA5 10552,74386
8600000US10553,10553,ZCTA5 10553,68644
8600000US10560,10560,ZCTA5 10560,138875
8600000US10562,10562,ZCTA5 10562,74226
8600000US10566,10566,ZCTA5 10566,54709
8600000US10567,10567,ZCTA5 10567,114207
8600000US10570,10570,ZCTA5 10570,132601
8600000US10573,10573,ZCTA5 10573,76097
8600000US10576,10576,ZCTA5 10576,195167
8600000US10577,10577,ZCTA5 10577,213173
8600000US10578,10578,ZCTA5 10578,105625
8600000US10579,10579,ZCTA5 10579,116223
8600000US10580,10580,ZCTA5 10580,178333
8600000US10583,10583,ZCTA5 10583,186053
8600000US10588,10588,ZCTA5 10588,76777
8600000US10589,10589,ZCTA5 10589,94901
8600000US10590,10590,ZCTA5 10590,135000
8600000US10591,10591,ZCTA5 10591,89478
8600000US10594,10594,ZCTA5 10594,144750
8600000US10595,10595,ZCTA5 10595,108586
8600000US10596,10596,ZCTA5 10596,92283
