GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
0100000US,,United States,109733354,13575283,7362038,3998629,6352737
8600000US06390,6390,ZCTA5 06390,68,50,22,47,6
8600000US10001,10001,ZCTA5 10001,395,221,5595,5277,772
8600000US10002,10002,ZCTA5 10002,2231,1048,19002,9012,1679
8600000US10003,10003,ZCTA5 10003,1462,393,18754,8287,2583
8600000US10004,10004,ZCTA5 10004,173,18,1276,429,163
8600000US10005,10005,ZCTA5 10005,128,4,3989,1726,319
8600000US10006,10006,ZCTA5 10006,76,73,1275,735,183
8600000US10007,10007,ZCTA5 10007,298,16,2192,729,250
8600000US10009,10009,ZCTA5 10009,1429,516,19183,7847,1885
8600000US10010,10010,ZCTA5 10010,700,265,10299,4944,1628
8600000US10011,10011,ZCTA5 10011,1684,386,18346,8441,2663
8600000US10012,10012,ZCTA5 10012,765,236,8162,4014,926
8600000US10013,10013,ZCTA5 10013,688,248,7148,4218,1030
8600000US10014,10014,ZCTA5 10014,867,203,11081,4873,2283
8600000US10016,10016,ZCTA5 10016,1282,416,13608,13538,2157
8600000US10017,10017,ZCTA5 10017,484,168,4323,5724,805
8600000US10018,10018,ZCTA5 10018,191,45,2920,2636,387
8600000US10019,10019,ZCTA5 10019,1103,211,11600,8787,1853
8600000US10020,10020,ZCTA5 10020,0,0,0,0,0
8600000US10021,10021,ZCTA5 10021,1838,507,10971,7137,1571
8600000US10022,10022,ZCTA5 10022,1744,372,7155,6645,1663
8600000US10023,10023,ZCTA5 10023,1665,568,20675,5562,3118
8600000US10024,10024,ZCTA5 10024,1522,538,24199,2521,2844
8600000US10025,10025,ZCTA5 10025,3482,765,33212,6397,3235
8600000US10026,10026,ZCTA5 10026,1096,134,12979,1342,1265
8600000US10027,10027,ZCTA5 10027,1786,265,17579,3937,2041
8600000US10028,10028,ZCTA5 10028,2226,434,17158,4234,2447
8600000US10029,10029,ZCTA5 10029,1932,304,22645,5196,1203
8600000US10030,10030,ZCTA5 10030,925,474,8964,1096,623
8600000US10031,10031,ZCTA5 10031,2178,745,22920,1640,1454
8600000US10032,10032,ZCTA5 10032,2447,1160,18041,3824,1969
8600000US10033,10033,ZCTA5 10033,2156,1533,18609,3805,1506
8600000US10034,10034,ZCTA5 10034,2509,727,13260,1979,1022
8600000US10035,10035,ZCTA5 10035,910,270,9582,1348,546
8600000US10036,10036,ZCTA5 10036,663,121,8115,6834,1102
8600000US10037,10037,ZCTA5 10037,621,78,5701,761,349
8600000US10038,10038,ZCTA5 10038,486,36,6295,3454,637
8600000US10039,10039,ZCTA5 10039,995,318,7742,868,426
8600000US10040,10040,ZCTA5 10040,1736,865,15019,2153,1157
8600000US10044,10044,ZCTA5 10044,321,17,4526,318,139
8600000US10065,10065,ZCTA5 10065,1386,212,6773,6728,1630
8600000US10069,10069,ZCTA5 10069,133,28,2355,495,276
8600000US10075,10075,ZCTA5 10075,1196,343,8984,2434,1025
8600000US10103,10103,ZCTA5 10103,0,0,0,0,0
8600000US10110,10110,ZCTA5 10110,0,0,0,0,0
8600000US10111,10111,ZCTA5 10111,0,0,0,0,0
8600000US10112,10112,ZCTA5 10112,0,0,0,0,0
8600000US10115,10115,ZCTA5 10115,0,0,0,0,0
8600000US10119,10119,ZCTA5 10119,0,0,0,0,0
8600000US10128,10128,ZCTA5 10128,2173,717,23560,4028,3286
8600000US10152,10152,ZCTA5 10152,0,0,0,0,0
8600000US10153,10153,ZCTA5 10153,0,0,0,0,0
8600000US10154,10154,ZCTA5 10154,0,0,0,0,0
8600000US10162,10162,ZCTA5 10162,101,0,273,39,40
8600000US10165,10165,ZCTA5 10165,0,0,0,0,0
8600000US10167,10167,ZCTA5 10167,0,0,0,0,0
8600000US10168,10168,ZCTA5 10168,0,0,0,0,0
8600000US10169,10169,ZCTA5 10169,0,0,0,0,0
8600000US10170,10170,ZCTA5 10170,0,0,0,0,0
8600000US10171,10171,ZCTA5 10171,0,0,0,0,0
8600000US10172,10172,ZCTA5 10172,0,0,0,0,0
8600000US10173,10173,ZCTA5 10173,0,0,0,0,0
