GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02
Id,Id2,Geography,Median income (dollars); Estimate; Households
0100000US,,United States,53889
8600000US06390,6390,ZCTA5 06390,151083
8600000US10001,10001,ZCTA5 10001,86801
8600000US10002,10002,ZCTA5 10002,33726
8600000US10003,10003,ZCTA5 10003,98151
8600000US10004,10004,ZCTA5 10004,119691
8600000US10005,10005,ZCTA5 10005,124194
8600000US10006,10006,ZCTA5 10006,123691
8600000US10007,10007,ZCTA5 10007,250000
8600000US10009,10009,ZCTA5 10009,59090
8600000US10010,10010,ZCTA5 10010,101718
8600000US10011,10011,ZCTA5 10011,109818
8600000US10012,10012,ZCTA5 10012,100859
8600000US10013,10013,ZCTA5 10013,96667
8600000US10014,10014,ZCTA5 10014,113973
8600000US10016,10016,ZCTA5 10016,104826
8600000US10017,10017,ZCTA5 10017,106421
8600000US10018,10018,ZCTA5 10018,105500
8600000US10019,10019,ZCTA5 10019,94022
8600000US10020,10020,ZCTA5 10020,-
8600000US10021,10021,ZCTA5 10021,115076
8600000US10022,10022,ZCTA5 10022,126378
8600000US10023,10023,ZCTA5 10023,111478
8600000US10024,10024,ZCTA5 10024,113839
8600000US10025,10025,ZCTA5 10025,74065
8600000US10026,10026,ZCTA5 10026,47264
8600000US10027,10027,ZCTA5 10027,40782
8600000US10028,10028,ZCTA5 10028,114939
8600000US10029,10029,ZCTA5 10029,31350
8600000US10030,10030,ZCTA5 10030,33196
8600000US10031,10031,ZCTA5 10031,39774
8600000US10032,10032,ZCTA5 10032,37280
8600000US10033,10033,ZCTA5 10033,44933
8600000US10034,10034,ZCTA5 10034,42581
8600000US10035,10035,ZCTA5 10035,27424
8600000US10036,10036,ZCTA5 10036,75966
8600000US10037,10037,ZCTA5 10037,35491
8600000US10038,10038,ZCTA5 10038,76379
8600000US10039,10039,ZCTA5 10039,33558
8600000US10040,10040,ZCTA5 10040,46200
8600000US10044,10044,ZCTA5 10044,91383
8600000US10065,10065,ZCTA5 10065,112869
8600000US10069,10069,ZCTA5 10069,163750
8600000US10075,10075,ZCTA5 10075,111691
8600000US10103,10103,ZCTA5 10103,-
8600000US10110,10110,ZCTA5 10110,-
8600000US10111,10111,ZCTA5 10111,-
8600000US10112,10112,ZCTA5 10112,-
8600000US10115,10115,ZCTA5 10115,-
8600000US10119,10119,ZCTA5 10119,-
8600000US10128,10128,ZCTA5 10128,100200
8600000US10152,10152,ZCTA5 10152,-
8600000US10153,10153,ZCTA5 10153,-
8600000US10154,10154,ZCTA5 10154,-
8600000US10162,10162,ZCTA5 10162,193510
8600000US10165,10165,ZCTA5 10165,-
8600000US10167,10167,ZCTA5 10167,-
8600000US10168,10168,ZCTA5 10168,-
8600000US10169,10169,ZCTA5 10169,-
8600000US10170,10170,ZCTA5 10170,-
8600000US10171,10171,ZCTA5 10171,-
8600000US10172,10172,ZCTA5 10172,-
8600000US10173,10173,ZCTA5 10173,-
8600000US10174,10174,ZCTA5 10174,-
8600000US10177,10177,ZCTA5 10177,-
8600000US10199,10199,ZCTA5 10199,-
8600000US10271,10271,ZCTA5 10271,-
8600000US10278,10278,ZCTA5 10278,-
8600000US10279,10279,ZCTA5 10279,-
8600000US10280,10280,ZCTA5 10280,145432
8600000US10282,10282,ZCTA5 10282,250000
8600000US10301,10301,ZCTA5 10301,54605
8600000US10302,10302,ZCTA5 10302,54170
8600000US10303,10303,ZCTA5 10303,52553
8600000US10304,10304,ZCTA5 10304,54106
8600000US10305,10305,ZCTA5 10305,72782
8600000US10306,10306,ZCTA5 10306,79686
8600000US10307,10307,ZCTA5 10307,76857
8600000US10308,10308,ZCTA5 10308,87174
8600000US10309,10309,ZCTA5 10309,87509
8600000US10310,10310,ZCTA5 10310,68080
8600000US10311,10311,ZCTA5 10311,-
8600000US10312,10312,ZCTA5 10312,84584
8600000US10314,10314,ZCTA5 10314,77331
8600000US10451,10451,ZCTA5 10451,26048
8600000US10452,10452,ZCTA5 10452,24790
8600000US10453,10453,ZCTA5 10453,23095
8600000US10454,10454,ZCTA5 10454,20210
8600000US10455,10455,ZCTA5 10455,23253
8600000US10456,10456,ZCTA5 10456,23956
8600000US10457,10457,ZCTA5 10457,24750
8600000US10458,10458,ZCTA5 10458,27912
8600000US10459,10459,ZCTA5 10459,23761
8600000US10460,10460,ZCTA5 10460,23209
8600000US10461,10461,ZCTA5 10461,51568
8600000US10462,10462,ZCTA5 10462,45760
8600000US10463,10463,ZCTA5 10463,56482
8600000US10464,10464,ZCTA5 10464,75208
8600000US10465,10465,ZCTA5 10465,73776
8600000US10466,10466,ZCTA5 10466,42478
8600000US10467,10467,ZCTA5 10467,35117
8600000US10468,10468,ZCTA5 10468,34784
8600000US10469,10469,ZCTA5 10469,57207
8600000US10470,10470,ZCTA5 10470,57706
8600000US10471,10471,ZCTA5 10471,80222
8600000US10472,10472,ZCTA5 10472,29308
8600000US10473,10473,ZCTA5 10473,36764
8600000US10474,10474,ZCTA5 10474,26585
8600000US10475,10475,ZCTA5 10475,44923
8600000US10501,10501,ZCTA5 10501,141563
8600000US10502,10502,ZCTA5 10502,157132
8600000US10503,10503,ZCTA5 10503,(X)
8600000US10504,10504,ZCTA5 10504,205912
8600000US10505,10505,ZCTA5 10505,143750
8600000US10506,10506,ZCTA5 10506,206207
8600000US10507,10507,ZCTA5 10507,64351
8600000US10509,10509,ZCTA5 10509,94226
8600000US10510,10510,ZCTA5 10510,146723
8600000US10511,10511,ZCTA5 10511,98370
8600000US10512,10512,ZCTA5 10512,90095
8600000US10514,10514,ZCTA5 10514,212528
8600000US10516,10516,ZCTA5 10516,92381
8600000US10517,10517,ZCTA5 10517,89250
8600000US10518,10518,ZCTA5 10518,187898
8600000US10519,10519,ZCTA5 10519,(X)
8600000US10520,10520,ZCTA5 10520,101932
8600000US10522,10522,ZCTA5 10522,116671
8600000US10523,10523,ZCTA5 10523,87353
8600000US10524,10524,ZCTA5 10524,119583
8600000US10526,10526,ZCTA5 10526,122250
