GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
0100000US,,United States,111448640,13588601,7476312,4030730,6661892
8600000US06390,6390,ZCTA5 06390,47,49,24,51,7
8600000US07421,7421,ZCTA5 07421,3244,236,159,33,194
8600000US10001,10001,ZCTA5 10001,476,142,5878,5184,895
8600000US10002,10002,ZCTA5 10002,1942,1064,18582,8673,1608
8600000US10003,10003,ZCTA5 10003,1347,534,18064,8534,2631
8600000US10004,10004,ZCTA5 10004,138,11,1272,427,155
8600000US10005,10005,ZCTA5 10005,81,5,4253,2101,216
8600000US10006,10006,ZCTA5 10006,47,74,1234,900,158
8600000US10007,10007,ZCTA5 10007,306,15,1935,865,218
8600000US10009,10009,ZCTA5 10009,1665,546,19766,7144,1771
8600000US10010,10010,ZCTA5 10010,802,189,11136,4939,1523
8600000US10011,10011,ZCTA5 10011,1611,291,18007,8146,2477
8600000US10012,10012,ZCTA5 10012,644,225,7976,4653,928
8600000US10013,10013,ZCTA5 10013,688,204,7407,4556,1330
8600000US10014,10014,ZCTA5 10014,1011,293,11057,4822,2414
8600000US10016,10016,ZCTA5 10016,864,531,12636,14263,2335
8600000US10017,10017,ZCTA5 10017,592,77,4189,5424,811
8600000US10018,10018,ZCTA5 10018,209,40,3107,2857,336
8600000US10019,10019,ZCTA5 10019,1150,228,11534,9429,1861
8600000US10020,10020,ZCTA5 10020,0,0,0,0,0
8600000US10021,10021,ZCTA5 10021,2190,659,11275,7042,1699
8600000US10022,10022,ZCTA5 10022,1556,352,7637,6643,1821
8600000US10023,10023,ZCTA5 10023,1540,490,20946,5813,2956
8600000US10024,10024,ZCTA5 10024,1608,559,24331,2546,2908
8600000US10025,10025,ZCTA5 10025,3147,944,32342,5117,3521
8600000US10026,10026,ZCTA5 10026,1003,135,14096,1223,1304
8600000US10027,10027,ZCTA5 10027,1986,299,18120,3814,1917
8600000US10028,10028,ZCTA5 10028,2160,205,18308,4070,2506
8600000US10029,10029,ZCTA5 10029,2080,256,22036,5504,1309
8600000US10030,10030,ZCTA5 10030,1085,414,9495,1105,748
8600000US10031,10031,ZCTA5 10031,2113,552,24078,1864,1747
